Vbattery, sensor current, sma current, sma Vbattery, error, timestamp, time, supply voltage, supply current, temperature
4.1894954194703224,-0.03878607055786941,-0.03440859361673293,4.1949120789545375,0.0003543049937820449,2022-03-04-15-35-20,5116.318460702896,0.0,0.0,19.57
4.188838254287829,-0.03845749768675484,-0.03506161161832355,4.194880706746101,0.00035513474774375516,2022-03-04-15-35-21,5116.831570863724,0.0,0.0,19.67
4.1894954194703224,-0.035007482540466046,-0.03567564347048109,4.194855939213124,0.0003551347474828909,2022-03-04-15-35-22,5117.358343362808,0.0,0.0,19.76
4.189002545582883,-0.03369319105634672,-0.036123984187927734,4.194826218173551,0.0003559645013084228,2022-03-04-15-35-22,5117.856628894806,0.0,0.0,19.67
4.18933112817413,-0.035828914718088814,-0.036835481413447245,4.194798148302779,0.00035845376336619676,2022-03-04-15-35-23,5118.368738412857,0.0,0.0,19.76
4.189002545582883,-0.03385747749185666,-0.037605457862920036,4.194768427263208,0.0003601132714027973,2022-03-04-15-35-23,5118.8796808719635,0.0,0.0,19.67
4.189002545582883,-0.03451462323391048,-0.038268222401736406,4.194738706223636,0.0003617727794393978,2022-03-04-15-35-24,5119.412760734558,0.0,0.0,19.37
4.188838254287829,-0.03648606046021523,-0.038930986940603034,4.194709810768597,0.00036011327127236515,2022-03-04-15-35-24,5119.923046112061,0.0,0.0,19.67
4.188838254287829,-0.03467890966942753,-0.03972045646476308,4.194680915313557,0.0003609430252877923,2022-03-04-15-35-25,5120.418966054916,0.0,0.0,19.57
4.188838254287829,-0.03303604531432063,-0.04000310604750813,4.194651194274054,0.0003601132712052359,2022-03-04-15-35-25,5120.948176145554,0.0,0.0,19.57
4.188673962993155,-0.035007482540466046,-0.04066587058633625,4.19461734531228,0.0003567942548558113,2022-03-04-15-35-26,5121.48070025444,0.0,0.0,19.57
4.189002545582883,-0.036978919766827115,-0.041465086647895666,4.1945901010261,0.00035264548435669663,2022-03-04-15-35-26,5121.9988667964935,0.0,0.0,19.47
4.188673962993155,-0.03385747749185666,-0.04196216005201755,4.194556252064325,0.0003493264678730091,2022-03-04-15-35-27,5122.490676641464,0.0,0.0,19.67
4.189166836878317,-0.03599320115361803,-0.042566445366864755,4.194525705440216,0.000350156221811703,2022-03-04-15-35-27,5123.0080008506775,0.0,0.0,19.67
4.188181089111407,-0.03484319610494605,-0.0432389564430229,4.194494333232069,0.00034849671343559403,2022-03-04-15-35-28,5123.518714666367,0.0,0.0,19.57
4.188838254287829,-0.03435033679839488,-0.04389197444450152,4.1944637866080985,0.00035098597526322657,2022-03-04-15-35-28,5124.060638189316,0.0,0.0,19.57
4.188181089111407,-0.038293211251200276,-0.04462296474476428,4.194429112062092,0.0003534752372193624,2022-03-04-15-35-29,5124.57803440094,0.0,0.0,19.67
4.18850967169886,-0.033200331749825146,-0.04486662817817,4.1943977398538,0.0003551347450910219,2022-03-04-15-35-29,5125.092734336853,0.0,0.0,19.67
4.188016797818252,-0.037307492637910056,-0.04563660462773768,4.194363065307873,0.00035596449902398306,2022-03-04-15-35-30,5125.602482318878,0.0,0.0,20.16
4.188838254287829,-0.03385747749185666,-0.04617266418119678,4.1943316930994365,0.0003576240069608609,2022-03-04-15-35-30,5126.111210107803,0.0,0.0,19.47
4.188016797818252,-0.035828914718088814,-0.04665999104802385,4.194295367384571,0.0003609430229209134,2022-03-04-15-35-31,5126.636881828308,0.0,0.0,19.67
4.188181089111407,-0.034021763927367984,-0.04693289409344524,4.194263169591963,0.0003617727766275371,2022-03-04-15-35-31,5127.151848077774,0.0,0.0,19.67
4.188181089111407,-0.03599320115361803,-0.04771261708030706,4.194228495045956,0.0003601132683799448,2022-03-04-15-35-32,5127.646224498749,0.0,0.0,19.57
4.188345380404944,-0.031064608088365267,-0.04802450627503466,4.194194646084338,0.0003601132683799448,2022-03-04-15-35-32,5128.176678180695,0.0,0.0,19.86
4.188345380404944,-0.03352890462083818,-0.04868727081382914,4.194161622707188,0.0003601132683013096,2022-03-04-15-35-33,5128.695173501968,0.0,0.0,19.67
4.188181089111407,-0.03303604531432063,-0.04945724726328385,4.194128599330115,0.00035928351421683335,2022-03-04-15-35-33,5129.205766439438,0.0,0.0,19.47
4.1878525065254735,-0.03467890966942753,-0.050042039503431245,4.194093099199802,0.0003592835141401181,2022-03-04-15-35-34,5129.735893249512,0.0,0.0,19.67
4.1878525065254735,-0.03139318095934572,-0.05028570293681955,4.1940592502384195,0.00035928351398285217,2022-03-04-15-35-34,5130.247844219208,0.0,0.0,19.67
4.187688215233075,-0.03254318600781497,-0.05068531096757555,4.194021273354786,0.0003559644976411072,2022-03-04-15-35-35,5130.758001089096,0.0,0.0,19.67
4.1875239239410575,-0.033364618185330985,-0.05113365168501662,4.193983296471239,0.00035596449755480135,2022-03-04-15-35-35,5131.267420768738,0.0,0.0,19.57
4.188181089111407,-0.03550034184703509,-0.051845148910527335,4.193950273094165,0.0003551347433840193,2022-03-04-15-35-36,5131.785260915756,0.0,0.0,19.47
4.1875239239410575,-0.0322146131368176,-0.052254503478613046,4.193912296210619,0.0003567942512250142,2022-03-04-15-35-36,5132.2868530750275,0.0,0.0,19.67
4.1875239239410575,-0.03418605036288073,-0.052702844196068376,4.193875144911541,0.00035928351315048544,2022-03-04-15-35-37,5132.816399335861,0.0,0.0,19.86
4.1878525065254735,-0.03615748758914882,-0.05339484834692868,4.1938445982879955,0.0003543049886724172,2022-03-04-15-35-37,5133.325581789017,0.0,0.0,19.57
