Vcell, current, timestamp, time, supply voltage, supply current, temperature
4.17881648600662,0.005406980589093268,0.09322816072114105,2022-02-04-13-14-29,10.825494527816772,4.2,0.349,21.05
4.17930935982355,0.0017926790063703263,0.14398924104827615,2022-02-04-13-14-32,13.020967721939087,4.2,0.342,21.05
4.180130816192672,0.005406980589093268,0.1821031526537812,2022-02-04-13-14-34,15.194541454315186,4.2,0.335,21.05
4.180459398742971,0.0017926790063703263,0.20230201445621923,2022-02-04-13-14-36,17.417593479156494,4.2,0.329,21.05
4.179966524918091,0.002449824748613376,0.21553985688459573,2022-02-04-13-14-38,19.597379684448242,4.2,0.324,21.05
4.180130816192672,0.00392840266877173,0.22783368923977984,2022-02-04-13-14-40,21.797890663146973,4.2,0.321,21.05
4.180952272571262,0.0017926790063703263,0.2351812024081693,2022-02-04-13-14-43,24.02674412727356,4.2,0.316,21.05
4.180952272571262,-0.00017875822018769555,0.2392464740768897,2022-02-04-13-14-45,26.2326557636261,4.2,0.312,21.05
4.181280855125349,-0.0008359039623198304,0.24244504824062582,2022-02-04-13-14-47,28.41979742050171,4.2,0.309,21.05
4.181116563848116,-0.0024787683175412946,0.24171419919267292,2022-02-04-13-14-49,30.63022541999817,4.2,0.306,21.05
4.1819380202380705,-0.0019859090109906156,0.24404841860660273,2022-02-04-13-14-51,32.823978662490845,4.2,0.303,21.05
4.1819380202380705,0.0014641061352597962,0.2452466362468108,2022-02-04-13-14-54,34.997334480285645,4.2,0.299,21.05
4.182102311517198,-0.0006716175267892088,0.24547700555158758,2022-02-04-13-14-56,37.210012912750244,4.2,0.297,21.05
4.18243089407659,-0.0019859090109906156,0.24548995033989163,2022-02-04-13-14-58,39.41436290740967,4.2,0.294,21.05
4.182759476637497,-0.002643054753055294,0.24550132606295522,2022-02-04-13-15-00,41.61327528953552,4.2,0.291,21.05
4.18243089407659,-0.004121632672619096,0.24490182541105124,2022-02-04-13-15-02,43.821908712387085,4.2,0.29,21.05
4.182595185356854,-0.001493049704426607,0.24620185543939624,2022-02-04-13-15-05,46.01741147041321,4.2,0.287,21.05
4.18308805919992,-0.001493049704426607,0.24652309941821157,2022-02-04-13-15-07,48.193259954452515,4.2,0.284,21.05
4.18308805919992,-0.0005073310912569913,0.24790104889666548,2022-02-04-13-15-09,50.42805624008179,4.2,0.282,21.05
4.18308805919992,0.0003141010864286149,0.24775252891575109,2022-02-04-13-15-11,52.636245250701904,4.2,0.28,21.05
4.183909515612611,-0.0003430446557231605,0.24791892018889902,2022-02-04-13-15-13,54.82312822341919,4.2,0.278,21.05
4.18341664176386,-0.004778778414613306,0.24703946915678032,2022-02-04-13-15-16,57.021045207977295,4.2,0.276,21.05
4.1832523504817,-0.0006716175267892088,0.24706305044429927,2022-02-04-13-15-18,59.22837567329407,4.2,0.274,21.05
4.184402389464774,-0.0023144818820258588,0.24628613948311537,2022-02-04-13-15-20,61.438289165496826,4.2,0.272,21.05
4.1835809330463976,-0.005600210592078526,0.24498233548350903,2022-02-04-13-15-22,63.6593382358551,4.2,0.27,21.05
4.184238098180341,-0.004121632672619096,0.2445491779649947,2022-02-04-13-15-25,65.84087872505188,4.2,0.269,21.05
4.184402389464774,-0.0028073411885678745,0.24349989715532006,2022-02-04-13-15-27,68.04557514190674,4.2,0.267,21.05
4.184238098180341,-0.003957346237117354,0.24294911491051988,2022-02-04-13-15-29,70.25106358528137,4.2,0.265,21.05
4.184730972034779,-0.001493049704426607,0.2430703711506826,2022-02-04-13-15-31,72.46923112869263,4.2,0.264,21.05
4.183745224329315,-0.002643054753055294,0.24244504822761154,2022-02-04-13-15-33,74.69068741798401,4.2,0.262,21.05
4.184402389464774,-0.0006716175267892088,0.24221627950232122,2022-02-04-13-15-36,76.88767051696777,4.2,0.26,21.05
4.184730972034779,-0.003135914059588827,0.24116165716403387,2022-02-04-13-15-38,79.07736158370972,4.2,0.258,21.05
4.184895263320349,-0.006421642769514874,0.23999951488040588,2022-02-04-13-15-40,81.28249478340149,4.2,0.257,21.05
4.184895263320349,-0.003464486930604263,0.23991360250587354,2022-02-04-13-15-42,83.5033950805664,4.2,0.256,21.05
