Vbattery, sensor current, sma current, sma Vbattery, error, timestamp, time, supply voltage, supply current, temperature
3.9029719627138784,0.17708630978327394,1.021800428219513,3.8062399927683677,4.464967600497976e-05,2022-03-03-11-20-39,19.882125854492188,4.09,2.603,21.54
3.9069149385826183,0.1793863200281267,1.2035621585376706,3.8204045345927904,5.609720726009488e-05,2022-03-03-11-20-41,22.082818508148193,4.1,2.603,21.64
3.9097078799463607,0.17281486219482933,1.3365095560875793,3.8314751023924893,6.144999101152946e-05,2022-03-03-11-20-43,24.28908634185791,4.1,2.603,21.35
3.912665112090174,0.17708630978327394,1.4457554785843438,3.8403818304457737,6.361716377274871e-05,2022-03-03-11-20-45,26.480151414871216,4.1,2.603,21.54
3.9151294722977785,0.1784006013513354,1.5344697340890259,3.84779809545402,6.405931881971308e-05,2022-03-03-11-20-48,28.724969625473022,4.1,2.603,21.54
3.918250995342023,0.18135775738363935,1.6085987108357913,3.854115647151832,6.358536208508232e-05,2022-03-03-11-20-50,30.937368631362915,4.1,2.603,21.54
3.9200581929525398,0.17987917936676295,1.670634303975309,3.859573673259909,6.251499865426331e-05,2022-03-03-11-20-52,33.17887854576111,4.11,2.603,21.35
3.922029681303949,0.18004346581301084,1.722186398170125,3.864351879239443,6.115235621293513e-05,2022-03-03-11-20-54,35.42297554016113,4.11,2.603,21.54
3.9238368790043703,0.18086489804451888,1.7690355896473005,3.86859577151919,5.963970289920256e-05,2022-03-03-11-20-57,37.64482522010803,4.11,2.603,21.44
3.925972658160344,0.17987917936676295,1.8088386603884354,3.8724012829152863,5.80727932476275e-05,2022-03-03-11-20-59,39.88267493247986,4.11,2.603,21.35
3.9279441466653813,0.17872917424352797,1.8427591741006886,3.8758711654156697,5.6508509228143114e-05,2022-03-03-11-21-01,42.10538196563721,4.11,2.603,21.54
3.9295870537920683,0.17544344532478334,1.87274764164527,3.8790304291720363,5.4955470560852767e-05,2022-03-03-11-21-03,44.36285400390625,4.12,2.602,21.64
3.931229960954368,0.17725059622921974,1.899179589283314,3.88194013682251,5.344811322381761e-05,2022-03-03-11-21-06,46.606783628463745,4.12,2.603,22.04
3.932872868152295,0.18152204383004883,1.9237460176248429,3.8846440471240418,5.199992314468114e-05,2022-03-03-11-21-08,48.83946132659912,4.12,2.603,21.44
3.9350086475628876,0.18119347093724786,1.9460103339840413,3.8871441140254426,5.060784145034072e-05,2022-03-03-11-21-10,51.09188365936279,4.12,2.603,21.44
3.9359943919265623,0.1790577471357917,1.96611333900393,3.889504608749682,4.9273817400687034e-05,2022-03-03-11-21-12,53.33867073059082,4.12,2.602,21.15
3.9376372992278927,0.17511487243329554,1.983739788536859,3.891699725832251,4.799775562994542e-05,2022-03-03-11-21-15,55.57290720939636,4.12,2.603,21.54
3.9387873343600552,0.1793863200281267,2.0011453996558055,3.893772420442929,4.6778304461095e-05,2022-03-03-11-21-17,57.80712080001831,4.12,2.602,21.44
3.9405945324602225,0.17823631490526576,2.0154676636574855,3.8957105818987303,4.561336648257887e-05,2022-03-03-11-21-19,60.0380482673645,4.13,2.602,21.54
3.9415802768967074,0.17774345556716314,2.0293131331861125,3.8975698713979807,4.450558255813565e-05,2022-03-03-11-21-21,62.25481057167053,4.13,2.603,21.35
3.943223184319427,0.1785648877974228,2.0418574931774196,3.8993405295886396,4.345585505966825e-05,2022-03-03-11-21-23,64.48071503639221,4.13,2.602,21.44
3.944537510283332,0.18119347093724786,2.0549706554298335,3.901032220060015,4.245394964096116e-05,2022-03-03-11-21-26,66.68921542167664,4.13,2.602,21.35
3.945358964022389,0.18152204383004883,2.0674698422526614,3.902647447653171,4.149469295291194e-05,2022-03-03-11-21-28,68.91955089569092,4.13,2.602,21.44
3.9466732900234747,0.1793863200281267,2.0773135611887064,3.90419429088495,4.05822705419071e-05,2022-03-03-11-21-30,71.13138222694397,4.13,2.602,21.54
3.9478233252932013,0.1802077522592766,2.0887057200782535,3.9056850077439176,3.971383550657422e-05,2022-03-03-11-21-32,73.3813226222992,4.13,2.602,20.85
3.949301942094325,0.17725059622921974,2.097127139400804,3.907111728833132,3.8885000769213284e-05,2022-03-03-11-21-35,75.61260962486267,4.13,2.602,21.44
3.95045197740413,0.1779077420131796,2.1057464631541665,3.9084933116957945,3.809273276998782e-05,2022-03-03-11-21-37,77.85552978515625,4.14,2.602,21.44
3.951602012731477,0.1769220233373458,2.113590662362717,3.909823853901292,3.733354422549847e-05,2022-03-03-11-21-39,80.10246348381042,4.14,2.602,20.95
3.953080629606708,0.18201490316938562,2.1214860978351675,3.911112786373439,3.660857703473567e-05,2022-03-03-11-21-41,82.3492341041565,4.14,2.602,21.54
3.9534092111384767,0.17363629442246276,2.1277347385431007,3.912365834093603,3.591178884328334e-05,2022-03-03-11-21-44,84.60038805007935,4.14,2.602,21.54
3.9553807003591923,0.1793863200281267,2.1347568998180257,3.913570244697725,3.524813953744053e-05,2022-03-03-11-21-46,86.84738993644714,4.14,2.602,21.35
3.955709281900996,0.17642916399966696,2.1406287214032385,3.9147496956299674,3.460768132715245e-05,2022-03-03-11-21-48,89.10093593597412,4.14,2.602,21.44
3.9573521896315245,0.17872917424352797,2.146825240910651,3.9158934478870204,3.39962813379187e-05,2022-03-03-11-21-50,91.38449287414551,4.14,2.602,21.35
3.9578450619576757,0.1802077522592766,2.1533217977394474,3.9170060583478454,3.340458493303457e-05,2022-03-03-11-21-53,93.65121960639954,4.14,2.602,21.54
