Vcell, time, current, Vsupply, Csupply, temperature
4.123943222270676,2265.699257850647,1.1844249279985462,4.20,1.300,20.85
4.124107513416978,2266.9675517082214,1.2038205375957662,4.20,1.300,20.95
4.124271804563652,2268.245668888092,1.1921831718361984,4.20,1.298,20.95
4.124107513416978,2269.5254476070404,1.2251557081647173,4.20,1.296,20.85
4.125093260302632,2270.8012461662292,1.1921831718361984,4.20,1.294,20.65
4.124436095710701,2272.078022480011,1.2193370252810158,4.20,1.292,20.85
4.124271804563652,2273.35808134079,1.2076996595164518,4.20,1.290,20.85
4.124764678005919,2274.6367061138153,1.2154579033590749,4.20,1.288,20.85
4.124600386858123,2275.913936853409,1.1960622937556409,4.20,1.287,20.85
4.124928969154088,2277.1939487457275,1.1902436108766314,4.20,1.285,20.85
4.125093260302632,2278.4717061519623,1.1630897574533974,4.20,1.283,20.85
4.125421842600839,2279.75062251091,1.2076996595164518,4.20,1.281,20.95
4.125586133750504,2281.0210008621216,1.2057600985560568,4.20,1.279,21.05
4.125257551451548,2282.2993988990784,1.1630897574533974,4.20,1.278,20.85
4.125914716050954,2283.4982612133026,1.211578781437554,4.20,1.276,20.85
4.125421842600839,2284.7718093395233,1.1844249279985462,4.20,1.275,20.85
4.125586133750504,2286.054267883301,1.1941227327958681,4.20,1.273,20.95
4.125914716050954,2287.333459854126,1.2057600985560568,4.20,1.271,21.05
4.125914716050954,2288.610481739044,1.126238099267485,4.20,1.269,20.75
4.125586133750504,2289.887258052826,1.1495128307491778,4.20,1.268,20.85
4.125914716050954,2291.161200761795,1.1941227327958681,4.20,1.266,20.95
4.1262432983529,2292.440758228302,1.1553315136218172,4.20,1.264,20.95
4.12607900720174,2293.7236964702606,1.1999414156754966,4.20,1.263,20.75
4.126407589504434,2295.004417181015,1.2154579033590749,4.20,1.261,20.85
4.1262432983529,2296.281065940857,1.1689084403281342,4.20,1.260,20.85
4.126571880656342,2297.565551519394,1.2057600985560568,4.20,1.257,20.65
4.126571880656342,2298.843979358673,1.2096392204769506,4.20,1.256,20.95
4.126571880656342,2300.1218395233154,1.1747271232037781,4.20,1.255,20.95
4.1267361718086235,2301.402266740799,1.1281776602237557,4.20,1.253,20.85
4.127064754114308,2302.683497428894,1.1320567821365883,4.20,1.252,20.95
4.1267361718086235,2303.957396507263,1.1592106355374074,4.20,1.250,20.75
4.126900462961278,2305.2374935150146,1.1339963430931503,4.20,1.248,20.85
4.1273933364214885,2306.5132915973663,1.137875465006568,4.20,1.247,20.85
4.127064754114308,2307.791685819626,1.1242985383113113,4.20,1.245,20.85
4.127064754114308,2309.0730500221252,1.2057600985560568,4.20,1.244,20.75
4.126900462961278,2310.350550174713,1.1941227327958681,4.20,1.242,20.75
4.127721918730165,2311.6258561611176,1.1417545869203776,4.20,1.241,20.75
4.127229045267711,2312.9046988487244,1.1844249279985462,4.20,1.240,20.75
