Vbattery, sensor current, sma current, sma Vbattery, timestamp, time, electronic load voltage, electronic load current, temperature
4.182102311517198,-0.032707472443315566,-0.11735329999031484,4.182664884689096,2022-02-23-13-02-33,7931.813544034958,4.179806,0.001766,18.28
4.123286057689209,-0.13571506836499025,-0.1301073825725318,4.1820475480048005,2022-02-23-13-02-33,7932.249196529388,4.179317,0.007077,18.28
4.120493108284647,-0.13932937003048568,-0.15522371726336504,4.180804577130194,2022-02-23-13-02-34,7932.685754060745,4.062705,1.253952,18.28
4.118521614652275,-0.1365365005612384,-0.1804576010945651,4.179510161553019,2022-02-23-13-02-34,7933.088759899139,4.055213,1.299982,18.28
4.118193032385438,-0.13965794290942646,-0.2061029069481509,4.178202469924592,2022-02-23-13-02-34,7933.495256900787,4.053969,1.300046,18.28
4.116714412203141,-0.13637221412196748,-0.2313171992562206,4.176873204714717,2022-02-23-13-02-35,7933.917228221893,4.0528,1.30007,18.28
4.115235792051057,-0.13817936495453564,-0.2554147746600011,4.175507430363569,2022-02-23-13-02-35,7934.322946071625,4.051616,1.300142,18.28
4.1149072097991395,-0.13916508359103164,-0.28082498221855,4.174131698969749,2022-02-23-13-02-36,7934.726979732513,4.05092,1.300038,18.28
4.114414336424061,-0.13932937003048568,-0.30645069654388535,4.172746010542752,2022-02-23-13-02-36,7935.133064746857,4.049987,1.300118,18.28
4.113592880806386,-0.13900079715158847,-0.33195886172609235,4.171342067549721,2022-02-23-13-02-36,7935.539399862289,4.04935,1.300118,18.28
4.112442842957293,-0.13916508359103164,-0.35664418287411614,4.169913231961023,2022-02-23-13-02-37,7935.960273265839,4.04858,1.30007,18.28
4.112442842957293,-0.13998651578841104,-0.3824854039778432,4.16848107735326,2022-02-23-13-02-37,7936.365517854691,4.047899,1.30007,18.28
4.112114260718049,-0.14064366154651192,-0.4086400894757341,4.167038965703015,2022-02-23-13-02-38,7936.77325463295,4.04738,1.300102,18.28
4.1112928051264594,-0.13801507851515754,-0.4334233682400468,4.16559353505349,2022-02-23-13-02-38,7937.194038152695,4.0467,1.300054,18.28
4.109978476199285,-0.1378507920757902,-0.459421321530252,4.164113254763256,2022-02-23-13-02-39,7937.614297628403,4.046107,1.300158,18.28
4.109321311744637,-0.13998651578841104,-0.48467479689526877,4.16263463399445,2022-02-23-13-02-39,7938.04826426506,4.045456,1.300134,18.28
4.109814185085065,-0.13801507851515754,-0.5097127654769145,4.1611643107549465,2022-02-23-13-02-39,7938.487701416016,4.044879,1.300022,18.28
4.108828438407559,-0.1365365005612384,-0.5344568611797265,4.159677392456903,2022-02-23-13-02-40,7938.909727573395,4.044419,1.300134,18.28
4.108335565073833,-0.1386722242727348,-0.5595144212997288,4.158182176629684,2022-02-23-13-02-40,7939.350104570389,4.043872,1.300078,18.28
4.107678400634076,-0.1386722242727348,-0.5848266712318384,4.156670365740856,2022-02-23-13-02-41,7939.749905586243,4.043309,1.300142,18.28
4.106856945092754,-0.13768650563643364,-0.6088654720611102,4.155146938307278,2022-02-23-13-02-41,7940.118331670761,4.04291,1.300158,18.28
4.106528362878829,-0.13850793783332427,-0.6344324118155484,4.153610234819362,2022-02-23-13-02-41,7940.488648176193,4.042495,1.300118,18.28
4.1060354895607345,-0.13817936495453564,-0.659509563453547,4.152056936268432,2022-02-23-13-02-42,7940.925093173981,4.041991,1.300166,18.28
4.105378325141816,-0.1386722242727348,-0.6847042642351957,4.150495340179872,2022-02-23-13-02-42,7941.365176677704,4.041473,1.300142,18.28
4.105049742934589,-0.13620792768270723,-0.709605092149603,4.148933744102001,2022-02-23-13-02-43,7941.773763656616,4.041015,1.300134,18.28
4.1048854518315325,-0.1365365005612384,-0.7347802014085306,4.147367169504043,2022-02-23-13-02-43,7942.17964720726,4.040659,1.300142,18.28
4.1048854518315325,-0.13571506836499025,-0.7588385937560825,4.145787318857371,2022-02-23-13-02-44,7942.614656925201,4.0402,1.300174,18.28
