Vbattery, sensor current, sma current, sma Vbattery, timestamp, time, electronic load voltage, electronic load current, temperature
3.0680510876716167,-0.0428932314474603,-2.6745763059029373,3.00021135103683,2022-02-24-15-42-13,3744.0482528209686,2.845111,0.0,18.09
3.1017303489356407,-0.04092179422029863,-2.6238538471668837,3.0017579912974854,2022-02-24-15-42-14,3744.771068572998,3.092695,0.0,18.28
3.1053447093815705,-0.038293211251200276,-2.572798332521154,3.0033959032812776,2022-02-24-15-42-15,3745.1764430999756,3.10001,0.0,18.19
3.1083019134842176,-0.043386090754299424,-2.523075041587188,3.0051350438849416,2022-02-24-15-42-15,3745.5981237888336,3.104333,0.002694,18.19
3.1125734306827253,-0.04256465857624529,-2.4739199048649105,3.0069737536277494,2022-02-24-15-42-15,3746.110301733017,3.107605,0.0,18.09
3.1156949241408194,-0.039607502735688256,-2.4234913190259926,3.0088904592078745,2022-02-24-15-42-16,3746.6280817985535,3.111321,0.0,18.28
3.1186521285636806,-0.037143206202367746,-2.3726121281258465,3.010881841655109,2022-02-24-15-42-16,3747.1415717601776,3.114697,0.00267,17.89
3.1209521765115102,-0.040100362042402395,-2.321811303290996,3.012936284557157,2022-02-24-15-42-17,3747.6438748836517,3.116874,0.00251,18.28
3.122923646225254,-0.03993607560682908,-2.2710104784591274,3.0150737017339204,2022-02-24-15-42-18,3748.174697637558,3.119672,0.002534,18.19
3.125387983424817,-0.041086080655883914,-2.220483934973533,3.0172692009244666,2022-02-24-15-42-18,3748.689959049225,3.121522,0.0,18.19
3.1271951640783793,-0.04125036709147125,-2.1704471796328533,3.019509506233458,2022-02-24-15-42-19,3749.2051362991333,3.123951,0.002534,18.09
3.129495212232571,-0.04190751283384131,-2.1196267632260057,3.0218278073680205,2022-02-24-15-42-19,3749.7201614379883,3.12558,0.0,18.19
3.1308095254885235,-0.04026464847797767,-2.068884712969591,3.0241992120422987,2022-02-24-15-42-20,3750.233702659607,3.127622,0.002526,18.09
3.1321238387626567,-0.03812892481564751,-2.0188087746093544,3.026620401287761,2022-02-24-15-42-20,3750.7456533908844,3.129251,0.0,18.19
3.134423887036159,-0.04207179926943909,-1.968576104003597,3.0290946940799017,2022-02-24-15-42-21,3751.244659423828,3.131146,0.002462,17.89
3.1360667786942154,-0.038621784122311216,-1.9178340537551004,3.031625409387998,2022-02-24-15-42-21,3751.764018058777,3.132597,0.0,18.19
3.137545381210794,-0.039278929864555084,-1.8679540306179112,3.0342175256568513,2022-02-24-15-42-22,3752.2965857982635,3.13433,0.0,18.28
3.1391882729229263,-0.03812892481564751,-1.8169964735735742,3.0368594264983066,2022-02-24-15-42-22,3752.798565864563,3.135973,0.002494,18.19
3.1405025863131395,-0.041086080655883914,-1.767351548725717,3.0395444739686197,2022-02-24-15-42-23,3753.3138666152954,3.137276,0.0,18.38
3.141816899721589,-0.036978919766827115,-1.716413583249925,3.0422776465301378,2022-02-24-15-42-23,3753.8441591262817,3.138846,0.002406,18.38
3.143295502327902,-0.0415789399626521,-1.6662005041668806,3.045055625205293,2022-02-24-15-42-24,3754.3442928791046,3.140045,0.0,17.89
3.144445526593228,-0.040100362042402395,-1.6164576217100706,3.047893345348138,2022-02-24-15-42-24,3754.8729758262634,3.141481,0.0,18.28
3.145759840056433,-0.039607502735688256,-1.5653433324870798,3.0507758716121662,2022-02-24-15-42-25,3755.3721673488617,3.142576,0.0,18.19
3.1470741535379045,-0.041414653527060634,-1.51491474662689,3.0536816306877705,2022-02-24-15-42-25,3755.8859899044037,3.144042,0.0,18.19
3.147895599473104,-0.04059322134913415,-1.4643490201038445,3.0566288768993344,2022-02-24-15-42-26,3756.4201288223267,3.14539,0.002374,18.19
3.1497027805556796,-0.04075750778471539,-1.4141359410368788,3.0596358645961796,2022-02-24-15-42-26,3756.9168751239777,3.146456,0.0,18.48
3.150852804898957,-0.039607502735688256,-1.3636681721419055,3.0627059127236023,2022-02-24-15-42-27,3757.4328813552856,3.147758,0.002414,17.99
3.1513456724789357,-0.036978919766827115,-1.3124363337822729,3.0657825988112575,2022-02-24-15-42-27,3757.9624712467194,3.148751,0.0,17.89
3.152988564430785,-0.04026464847797767,-1.2626542682852493,3.0689273238028707,2022-02-24-15-42-28,3758.4746947288513,3.150038,0.0,18.19
3.1539742996156246,-0.037307492637910056,-1.2118142604202005,3.0721085574780647,2022-02-24-15-42-28,3758.9918031692505,3.151253,0.00223,18.19
3.1549600348107663,-0.037964638380096526,-1.161111393203985,3.075339575707189,2022-02-24-15-42-29,3759.5043334960938,3.15217,0.0,18.28
3.155945770016213,-0.039771789171257704,-1.1103105684230832,3.0786104215881505,2022-02-24-15-42-29,3760.018432378769,3.153326,0.00231,18.19
3.157095794435596,-0.03747177907345408,-1.0599799402333274,3.0819177761555405,2022-02-24-15-42-30,3760.532157897949,3.154273,0.0,18.28
3.1580815296633813,-0.037143206202367746,-1.0091203408508502,3.0852765747718083,2022-02-24-15-42-30,3761.047019958496,3.15531,0.002302,17.99
3.159231554108835,-0.037636065508999825,-0.9583782906315038,3.088683498460233,2022-02-24-15-42-31,3761.5649452209473,3.156243,0.0,17.89
3.1597244217326144,-0.04486466867494006,-0.9085570420376721,3.092133568751006,2022-02-24-15-42-31,3762.079705476761,3.157279,0.0,18.28
3.161038735408641,-0.038621784122311216,-0.858618244364895,3.0956002339289856,2022-02-24-15-42-32,3762.593974351883,3.158345,0.002414,18.28
3.1620244706777063,-0.04190751283384131,-0.8080721093611072,3.099139916444789,2022-02-24-15-42-32,3763.093178987503,3.159219,0.0,18.28
