Vcell, sensor current, smooth current, smooth voltage, timestamp, time, supply voltage, supply current, temperature
3.222975788337425,0.12993610046723017,1.0044338938938844,3.151542837369389,2022-02-08-18-32-23,13.844651699066162,3.34,2.003,19.86
3.225275838843661,0.13092181911638923,1.2362391367833288,3.172468589799429,2022-02-08-18-32-23,14.359186172485352,3.34,2.003,19.86
3.227411600079373,0.13075753267482915,1.359416651055514,3.1845503670519815,2022-02-08-18-32-24,14.859778881072998,3.35,2.002,19.86
3.229383072033178,0.12812894961168741,1.4363917521363934,3.1926420263828703,2022-02-08-18-32-24,15.362581014633179,3.35,2.002,19.86
3.2310259653602404,0.12697894452263053,1.4916217677327774,3.1985598854051056,2022-02-08-18-32-25,15.894970417022705,3.35,2.002,19.86
3.2334903054057973,0.1294432411428315,1.534709860503409,3.203173464248402,2022-02-08-18-32-25,16.410522937774658,3.35,2.002,19.86
3.235461777489761,0.1294432411428315,1.5669750275623828,3.206923768941104,2022-02-08-18-32-26,16.926313161849976,3.35,2.002,19.86
3.237268960270522,0.13355040218319278,1.5964287320353037,3.2100834123768878,2022-02-08-18-32-26,17.439305305480957,3.36,2.002,19.86
3.2390761430868187,0.12895038181855284,1.6144535240795403,3.2128055083140676,2022-02-08-18-32-27,17.9533109664917,3.36,2.002,19.86
3.2407190365870315,0.12878609537715324,1.6302711858116234,3.215225628626876,2022-02-08-18-32-28,18.466289043426514,3.36,2.002,19.86
3.2426905088260947,0.13010038690872314,1.6432476919067627,3.217389961171957,2022-02-08-18-32-28,18.980433225631714,3.36,2.002,19.86
3.244333402391004,0.1333861157414154,1.6577498611017958,3.2193857716326275,2022-02-08-18-32-29,19.495019674301147,3.36,2.002,19.86
3.245812006624586,0.12960752758428437,1.665971320612994,3.221191275146538,2022-02-08-18-32-29,20.010224103927612,3.36,2.001,19.86
3.2479477683374243,0.13157896488276447,1.676885935672518,3.222906901199876,2022-02-08-18-32-30,20.540451049804688,3.37,2.001,19.86
3.249590661996566,0.1294432411428315,1.6842441332073825,3.224509163426923,2022-02-08-18-32-30,21.06923222541809,3.37,2.001,19.86
3.251562134426449,0.1333861157414154,1.692534706797101,3.2260174956280965,2022-02-08-18-32-31,21.582088947296143,3.37,2.001,19.86
3.253369317524488,0.13355040218319278,1.7002959461343345,3.2274737712206805,2022-02-08-18-32-31,22.095338582992554,3.37,2.001,19.86
3.254355053774832,0.13157896488276447,1.7060178525893004,3.2288565110792544,2022-02-08-18-32-32,22.612525463104248,3.37,2.001,19.86
3.2569836838277166,0.12862180893576688,1.7106138478776993,3.230200518880218,2022-02-08-18-32-32,23.176475286483765,3.38,2.001,19.86
3.258133709499634,0.1271432309638849,1.7142861419534254,3.23147681294877,2022-02-08-18-32-33,23.690024375915527,3.38,2.001,19.86
3.259612313956237,0.1302646733502295,1.7182785302221428,3.2327126761593417,2022-02-08-18-32-33,24.202473878860474,3.38,2.001,19.86
3.2609266290488805,0.13322182929965168,1.7228802876392422,3.2339132698993214,2022-02-08-18-32-34,24.732027053833008,3.38,2.001,19.86
3.2627338123321783,0.1304289597917493,1.7270668085120626,3.23507620719124,2022-02-08-18-32-34,25.27699637413025,3.38,2.001,19.86
3.264376706257162,0.12845752249439382,1.729974209609764,3.2362188036489754,2022-02-08-18-32-35,25.755225658416748,3.38,2.001,19.86
3.266348179006231,0.12895038181855284,1.7332843075498954,3.237337162410006,2022-02-08-18-32-35,26.25415277481079,3.39,2.001,19.86
3.2671696259976013,0.1305932462332825,1.7357541704208217,3.238407043867894,2022-02-08-18-32-36,26.753493309020996,3.39,2.001,19.86
3.2689768094046987,0.1304289597917493,1.7387312573013056,3.239456609058506,2022-02-08-18-32-36,27.26647686958313,3.39,2.001,19.86
3.2704554140371935,0.12812894961168741,1.7402572990029546,3.2404934931760714,2022-02-08-18-32-37,27.77746558189392,3.39,2.001,19.86
3.2717697292862504,0.12927895470139195,1.7421920097077181,3.241500090657652,2022-02-08-18-32-37,28.275729179382324,3.39,2.001,19.86
3.2737412021954535,0.13174325132439207,1.7444348951934212,3.242507971397583,2022-02-08-18-32-38,28.82184648513794,3.39,2.001,19.86
3.2743983598413564,0.13223611064935617,1.7465695963570393,3.2434841590601065,2022-02-08-18-32-38,29.33639407157898,3.39,2.001,19.86
3.276369832807582,0.1333861157414154,1.7497926968859654,3.2444535605589193,2022-02-08-18-32-39,29.853025674819946,3.4,2.001,19.86
3.277684148142174,0.13207182420768787,1.7521262115131684,3.2454096229779603,2022-02-08-18-32-39,30.382031440734863,3.4,2.001,19.86
3.2789984634957943,0.12599322587537914,1.7532355501049965,3.246346531757629,2022-02-08-18-32-40,30.89904284477234,3.4,2.001,19.86
3.2808056471381057,0.1294432411428315,1.7547357816090698,3.2472793644103186,2022-02-08-18-32-40,31.384936332702637,3.4,2.001,19.86
3.2816270942601506,0.12960752758428437,1.756311165646421,3.24818216071904,2022-02-08-18-32-41,31.882784843444824,3.4,2.001,19.86
3.282612830816428,0.12878609537715324,1.7571749839542536,3.2490807310963032,2022-02-08-18-32-41,32.38101387023926,3.4,2.001,19.86
3.2840914356709434,0.12763609028772688,1.7582405786771653,3.2499649984345287,2022-02-08-18-32-42,32.881006956100464,3.4,2.001,19.86
3.285898619414789,0.13322182929965168,1.7599479621672278,3.25084007874772,2022-02-08-18-32-42,33.38229990005493,3.41,2.001,19.86
3.287048645452376,0.13470040727601917,1.7615029575015653,3.251706636158632,2022-02-08-18-32-43,33.881425619125366,3.41,2.001,19.86
