Vbattery, sensor current, sma current, sma Vbattery, error, timestamp, time, electronic load voltage, electronic load current, temperature
4.163701690606706,-0.03550034184703509,-0.15508047237693304,4.165049869469345,0.00031364691302939525,2022-03-04-13-51-21,102.65563678741455,4.161461,0.00111,19.17
4.042783441385253,-0.2454584128631921,-0.16759502669990456,4.164422426057197,0.00031364691293789493,2022-03-04-13-51-21,103.15145874023438,4.063549,1.067855,19.17
4.037690421697774,-0.2441441212670607,-0.17983667797075498,4.163771866333737,0.0009218558800341528,2022-03-04-13-51-22,103.6645655632019,3.915519,2.599654,19.07
4.035718930300267,-0.24562269931280056,-0.1922050342344841,4.163110574034183,0.0009467484479250181,2022-03-04-13-51-22,104.17841649055481,3.911063,2.599654,19.57
4.034404602731186,-0.24496555351448968,-0.20480730739098893,4.1624435026576245,0.0009558757214220859,2022-03-04-13-51-23,104.70763325691223,3.908131,2.59971,19.27
4.032925984243937,-0.2428298296722325,-0.21708794480463875,4.161769826621556,0.0009616839856865907,2022-03-04-13-51-23,105.20586276054382,3.906162,2.59971,19.37
4.029804456423606,-0.24529412641360415,-0.22951478029073255,4.161080464516037,0.0009691517558242144,2022-03-04-13-51-24,105.75018382072449,3.904089,2.599734,19.27
4.028161547097439,-0.24660841801088207,-0.24199034847022527,4.160379544248173,0.0009815980327900114,2022-03-04-13-51-24,106.26084423065186,3.902653,2.599702,19.27
4.025697183176627,-0.24660841801088207,-0.2544366770377013,4.159672019331021,0.0009840872783112263,2022-03-04-13-51-25,106.77584719657898,3.901025,2.59967,19.17
4.025532892251491,-0.2462798451114394,-0.2669219917528489,4.158963668831331,0.000996533560739572,2022-03-04-13-51-25,107.28675246238708,3.89941,2.599718,18.97
4.024547146708339,-0.2518655844132441,-0.2799043799015454,4.158251190420586,0.0009965335591331935,2022-03-04-13-51-26,107.78399062156677,3.898286,2.599694,19.27
4.022247073825368,-0.24578698576242947,-0.29234096192748343,4.157526328270515,0.0010006823182238628,2022-03-04-13-51-26,108.3290274143219,3.89682,2.59963,19.17
4.021425619241622,-0.24315840257081783,-0.3046410924174434,4.156796512623822,0.001011469094180394,2022-03-04-13-51-27,108.84068059921265,3.895828,2.599702,19.37
4.019454128277799,-0.24332268902014081,-0.31698995559491366,4.156055138819079,0.001013958347187769,2022-03-04-13-51-27,109.34358143806458,3.894525,2.599694,19.07
4.018304091906457,-0.24348697546948417,-0.32926084647449494,4.155310462689514,0.0010214261109855482,2022-03-04-13-51-28,109.86683750152588,3.893592,2.59971,19.27
4.019125546455594,-0.24529412641360415,-0.3415414839005001,4.154569914472257,0.001027234375487273,2022-03-04-13-51-28,110.38452100753784,3.892422,2.599694,19.27
4.017646928273702,-0.2462798451114394,-0.3540755313023392,4.153820284844602,0.0010297236283236645,2022-03-04-13-51-29,110.88111114501953,3.891519,2.599718,19.57
4.015839728313658,-0.24644413156115047,-0.3667557767650826,4.1530615738101115,0.0010371913969190786,2022-03-04-13-51-29,111.39637851715088,3.890468,2.599734,19.27
4.015182564702742,-0.2451298399640367,-0.3792410914743723,4.152302037198333,0.0010438294081782382,2022-03-04-13-51-30,111.90949082374573,3.889461,2.599694,19.27
4.014525401097647,-0.24578698576242947,-0.3915509685148989,4.151539198256882,0.001047148416314179,2022-03-04-13-51-30,112.42537307739258,3.888647,2.599694,19.07
4.015018273800923,-0.24677270446063432,-0.40406552284459,4.150778836062683,0.0010504674244207156,2022-03-04-13-51-31,112.94067192077637,3.887685,2.599734,19.27
4.012718201213647,-0.24841556895929195,-0.41662880986947826,4.150008566883047,0.001051297172996521,2022-03-04-13-51-31,113.47087287902832,3.887018,2.599718,19.17
4.01321107390492,-0.2451298399640367,-0.4291336176534436,4.149239123282334,0.0010612541937137423,2022-03-04-13-51-32,113.98082137107849,3.886056,2.59975,19.17
4.01173245584092,-0.24726556381001463,-0.441843102732431,4.14846307502423,0.0010629136959786453,2022-03-04-13-51-32,114.490642786026,3.885374,2.599766,19.27
4.01058241958928,-0.2461155586617489,-0.4543966432081051,4.147680422105348,0.0010695517102270189,2022-03-04-13-51-33,115.00748896598816,3.884456,2.599694,19.27
4.01058241958928,-0.24496555351448968,-0.46676499946850253,4.146896943602331,0.001074530220370659,2022-03-04-13-51-33,115.5209653377533,3.883613,2.59979,19.37
4.010253837806368,-0.24660841801088207,-0.4794160053200788,4.146114290686979,0.0010720409591157849,2022-03-04-13-51-34,116.034188747406,3.882946,2.599758,19.37
4.008939510689254,-0.24825128250933304,-0.49202802503080467,4.145322556360344,0.0010712112018150127,2022-03-04-13-51-35,116.5624086856842,3.882176,2.599774,19.17
4.00861092891361,-0.24825128250933304,-0.5044353674574021,4.144529996453143,0.0010770194638044797,2022-03-04-13-51-35,117.07317805290222,3.88157,2.59975,19.37
4.0072966018255585,-0.24660841801088207,-0.5169986544729401,4.143728355134793,0.0010761897064555574,2022-03-04-13-51-36,117.58997750282288,3.880785,2.599782,19.47
4.006146565642578,-0.2475941367097047,-0.5296106741802528,4.142922585908425,0.0010811682145389914,2022-03-04-13-51-36,118.08139228820801,3.880207,2.599718,19.27
4.006475147407328,-0.24332268902014081,-0.5415794224014585,4.142122595767369,0.0010828277093408005,2022-03-04-13-51-37,118.61260890960693,3.879452,2.599694,19.27
4.005817983879279,-0.2462798451114394,-0.5541719490273244,4.141315175376362,0.0010803384444545774,2022-03-04-13-51-37,119.12248587608337,3.878905,2.599686,19.07
4.004832238598096,-0.2459512722120789,-0.5666085310541,4.140502801491478,0.0010836574521719978,2022-03-04-13-51-38,119.65061902999878,3.878165,2.599766,19.27
