Vbattery, sensor current, sma current, sma Vbattery, error, sma error, timestamp, time, electronic load voltage, electronic load current
4.033091043420914,-0.2576258083807381,-0.21714008353977413,4.193670755621545,0.0019598679552599307,0.0003548647226070626,2022-07-06-14-35-54,10527.676720380783,3.897086,2.599862
4.022576469004603,-0.26058298223164134,-0.2435692092733918,4.1919249632871605,0.002064416277945058,0.00037249898861781746,2022-07-06-14-35-55,10528.799731254578,3.889357,2.59979
4.017154891947792,-0.2546686345368505,-0.2690187528477675,4.190124407548161,0.002119179682559314,0.0003906864203317467,2022-07-06-14-35-56,10529.90900850296,3.883761,2.59983
4.0127190563643005,-0.26058298223164134,-0.29558502007156673,4.188282364388528,0.0021606671031933573,0.00040929291690066554,2022-07-06-14-35-57,10531.005684375763,3.879334,2.599982
4.008776091544783,-0.2595972576138905,-0.32232761205366317,4.186397174302024,0.0021971760312620046,0.00042833524101373714,2022-07-06-14-35-58,10532.112001895905,3.875499,2.599902
4.004504546475977,-0.25631150889370313,-0.3483649048954824,4.184472156295034,0.0022370039517477145,0.00044777986735383696,2022-07-06-14-35-59,10533.204974651337,3.872434,2.599886
4.000561581937551,-0.2595972576138905,-0.3750291303118271,4.182502331864309,0.0022718533772727186,0.00046755974546990313,2022-07-06-14-36-00,10534.31265592575,3.869428,2.599958
3.997768648804346,-0.2591043953053092,-0.4014974393064257,4.180505955487496,0.002298405323358323,0.0004876078250615562,2022-07-06-14-36-02,10535.4499335289,3.866527,2.599966
3.9962900371729386,-0.26091155710439945,-0.4281028898180305,4.1784963031393625,0.0023116812946807914,0.0005077900053736383,2022-07-06-14-36-03,10536.560917139053,3.863877,2.599894
3.9930042336153275,-0.26091155710439945,-0.45437528242482217,4.176450141856897,0.002341552230199964,0.000528273912307076,2022-07-06-14-36-04,10537.661074399948,3.861449,2.599926
3.990704171180559,-0.26304729377946123,-0.48131379087321363,4.174382407120249,0.0023631256843821705,0.0005489589702958456,2022-07-06-14-36-05,10538.762701511383,3.859168,2.599918
3.9888969792996054,-0.26025440735897054,-0.5078800580921176,4.172291439421038,0.0023764016487056896,0.00056974460368767,2022-07-06-14-36-06,10539.865931510925,3.857066,2.59995
3.986925497279834,-0.25614722145792096,-0.5337606177999167,4.17018553626115,0.0023913371093809022,0.0005906811003185629,2022-07-06-14-36-07,10540.966656446457,3.85526,2.59995
3.984954015293623,-0.2627187189061336,-0.5605815763946388,4.168058059642102,0.002409591569133237,0.0006118355106783549,2022-07-06-14-36-08,10542.077902078629,3.853246,2.599982
3.982818243179747,-0.2556543591507038,-0.5865796859440489,4.165912328566764,0.0024278460254227615,0.0006331575468622146,2022-07-06-14-36-09,10543.174501419067,3.851381,2.599966
3.980518180947266,-0.260418694795295,-0.6129108534679274,4.163743364539582,0.002451078977266003,0.0006547310219505449,2022-07-06-14-36-10,10544.272087335587,3.849633,2.599942
3.9792038596920394,-0.2554900717150078,-0.6390265128636413,4.161559465040424,0.002462695449839171,0.0006764385977689512,2022-07-06-14-36-11,10545.379732608795,3.84796,2.599958
3.9775609581439397,-0.25976154505012783,-0.6655535967923204,4.159352332577302,0.0024726524161392616,0.0006981964611345515,2022-07-06-14-36-13,10546.487936019897,3.846554,2.599886
3.9762466369222,-0.25729723350884964,-0.6917868060629832,4.157130264642528,0.0024842688883617604,0.000720071662603284,2022-07-06-14-36-14,10547.596606969833,3.845043,2.599982
3.9747680255655227,-0.258282958124775,-0.7179808320651669,4.154901558738052,0.0024909068580645324,0.0007419636264008302,2022-07-06-14-36-15,10548.702738285065,3.843504,2.599846
3.974439445266595,-0.2546686345368505,-0.7436262920542153,4.152664555341536,0.002489247351862536,0.0007638053022627646,2022-07-06-14-36-16,10549.797844171524,3.842038,2.59987
3.972796543785892,-0.26304729377946123,-0.7702905175222506,4.150417594979391,0.002499204317491774,0.0007856972656651416,2022-07-06-14-36-17,10550.895758152008,3.840661,2.599934
3.971646512763218,-0.2607472696680095,-0.7965433184851384,4.148155699142864,0.0025075017930620887,0.0008076395167055401,2022-07-06-14-36-18,10551.989780426025,3.839506,2.59991
3.9688535803269294,-0.2595972576138905,-0.8227569361480987,4.145868910866993,0.0025323942324062855,0.0008298332065270928,2022-07-06-14-36-19,10553.091065645218,3.838232,2.599934
3.96819641976343,-0.26025440735897054,-0.8491664702353786,4.143570506106518,0.0025340537187831663,0.0008520101335906986,2022-07-06-14-36-20,10554.189737319946,3.837003,2.599886
3.9680321296231353,-0.26255443146950275,-0.8760070204690679,4.141273760849088,0.0025323942157386174,0.0008741535353739373,2022-07-06-14-36-21,10555.293669462204,3.83576,2.599942
3.96540348740995,-0.26321158121615806,-0.9028475707127003,4.138947144650699,0.002555627157874782,0.0008965316133403194,2022-07-06-14-36-22,10556.389522075653,3.834665,2.599942
3.96540348740995,-0.2581186706887333,-0.9288652719393409,4.136623847451722,0.0025523081584636195,0.0009188426408135467,2022-07-06-14-36-24,10557.476015090942,3.833539,2.599862
3.9631034255220863,-0.26058298223164134,-0.9551572561827271,4.134272338805263,0.0025705626077054213,0.0009413548192860044,2022-07-06-14-36-25,10558.547660827637,3.832517,2.59995
3.962939135388976,-0.2620615691597417,-0.9814688320895663,4.131925808661331,0.002565584105177158,0.0009637496593609815,2022-07-06-14-36-26,10559.659713029861,3.831437,2.59991
3.9621176847269006,-0.258282958124775,-1.0078783661477049,4.129569321536262,0.0025722220869104136,0.0009862115497564464,2022-07-06-14-36-27,10560.753673315048,3.830445,2.600006
