Vcell, sensor current, smooth current, timestamp, time, supply voltage, supply current, temperature
3.9215368092112994,0.09083592773917867,0.8946547404724221,2022-02-08-12-14-02,18.23891019821167,4.0,1.303,19.57
3.922358262700826,0.08919306335245603,1.0165145841246115,2022-02-08-12-14-03,18.78811502456665,4.0,1.303,19.57
3.9230154254988454,0.08935734979108438,1.0865850717803383,2022-02-08-12-14-03,19.30478000640869,4.0,1.303,19.57
3.9233440068999887,0.0916573599329086,1.1338202379719438,2022-02-08-12-14-04,19.81859302520752,4.0,1.302,19.57
3.924165460409069,0.0900144955456951,1.1651787338959425,2022-02-08-12-14-04,20.33484649658203,4.0,1.302,19.57
3.9248226232227346,0.09083592773917867,1.1888214845627976,2022-02-08-12-14-05,20.86584162712097,4.0,1.302,19.57
3.925479786042091,0.09198593281046998,1.2081562451111507,2022-02-08-12-14-05,21.37981939315796,4.0,1.302,19.57
3.92613694886714,0.0901787819843722,1.2215830509425774,2022-02-08-12-14-06,21.89564800262451,4.0,1.302,19.57
3.926465530281799,0.0883716311594596,1.231251689350304,2022-02-08-12-14-06,22.408965826034546,4.0,1.302,19.57
3.926958402406457,0.08771448540523592,1.2381425518363347,2022-02-08-12-14-07,22.925286054611206,4.01,1.302,19.57
3.927451274534317,0.09116450061664098,1.245017030466421,2022-02-08-12-14-08,23.472766637802124,4.01,1.302,19.57
3.9279441466653813,0.0901787819843722,1.2514477525485022,2022-02-08-12-14-08,23.986993312835693,4.01,1.302,19.57
3.9286013095117833,0.09494308871032887,1.2585297509746909,2022-02-08-12-14-09,24.50105619430542,4.01,1.302,19.57
3.9292584723638826,0.0890287769138374,1.262508116251915,2022-02-08-12-14-09,25.048882961273193,4.01,1.302,19.57
3.9299156352216786,0.08738591252818158,1.2648287639402513,2022-02-08-12-14-10,25.5644633769989,4.01,1.302,19.57
3.9299156352216786,0.08755019896670398,1.2668841947499239,2022-02-08-12-14-10,26.093696117401123,4.01,1.302,19.57
3.9304085073687656,0.09132878705538695,1.270342454390193,2022-02-08-12-14-11,26.63949751853943,4.01,1.302,19.57
3.931229960954368,0.08870020403662918,1.272351909419247,2022-02-08-12-14-11,27.16424798965454,4.01,1.302,19.57
3.931394251672557,0.08525018882825346,1.2735976436753103,2022-02-08-12-14-12,27.679869890213013,4.01,1.302,19.57
3.9317228331100047,0.09034306842305909,1.275494298847561,2022-02-08-12-14-12,28.208510637283325,4.01,1.302,19.57
3.9322157052688484,0.0855787617050618,1.2770499570300553,2022-02-08-12-14-13,28.736999034881592,4.01,1.301,19.57
3.932544286709859,0.09149307349414283,1.2796287019002446,2022-02-08-12-14-13,29.26951551437378,4.01,1.301,19.57
3.933037158874048,0.08870020403662918,1.2816406910931246,2022-02-08-12-14-14,29.78934645652771,4.01,1.301,19.57
3.933201449596157,0.0901787819843722,1.2835709384263694,2022-02-08-12-14-14,30.301698207855225,4.01,1.301,19.57
3.9338586124881583,0.08886449047522844,1.2853921022056494,2022-02-08-12-14-15,30.81648826599121,4.01,1.301,19.57
3.93402290321205,0.0900144955456951,1.2869750234753892,2022-02-08-12-14-15,31.34361696243286,4.01,1.301,19.57
3.9345157753858637,0.08607162102034473,1.2882426982391921,2022-02-08-12-14-16,31.886829614639282,4.01,1.301,19.57
3.934844356836856,0.08787877184377745,1.2890628158889124,2022-02-08-12-14-16,32.402308225631714,4.01,1.301,19.57
3.9353372290160187,0.08985020910702779,1.2904332808791366,2022-02-08-12-14-17,32.9489266872406,4.01,1.301,19.57
3.9356658104705775,0.08820734472088927,1.2915627988092024,2022-02-08-12-14-17,33.46001362800598,4.01,1.301,19.57
3.9359943919265623,0.08886449047522844,1.2922945745490788,2022-02-08-12-14-18,33.99095416069031,4.01,1.301,19.57
3.9363229733839744,0.0890287769138374,1.293358994910021,2022-02-08-12-14-19,34.50289797782898,4.01,1.301,19.57
3.9364872641132154,0.09149307349414283,1.2944460384806276,2022-02-08-12-14-19,35.02215218544006,4.01,1.301,19.57
3.936980136303079,0.0883716311594596,1.2951440270386092,2022-02-08-12-14-20,35.53760886192322,4.02,1.301,19.57
3.937473008496154,0.09050735486175579,1.2964414335278993,2022-02-08-12-14-20,36.04717516899109,4.02,1.301,19.57
3.937473008496154,0.0890287769138374,1.2973075936238097,2022-02-08-12-14-21,36.591009855270386,4.02,1.301,19.57
3.9381301714252492,0.08919306335245603,1.298456216735376,2022-02-08-12-14-21,37.10581374168396,4.02,1.301,19.57
3.938294462158416,0.08804305828232856,1.299153859240232,2022-02-08-12-14-22,37.63521862030029,4.02,1.301,19.57
3.9386230436258183,0.08919306335245603,1.2996973242776357,2022-02-08-12-14-22,38.1824586391449,4.02,1.301,19.57
3.938951625094649,0.0890287769138374,1.299864075162746,2022-02-08-12-14-23,38.72559976577759,4.02,1.301,19.57
3.9391159158296,0.0901787819843722,1.300867258427117,2022-02-08-12-14-23,39.24143314361572,4.02,1.301,19.57
3.9394444973005722,0.08952163622972244,1.3010663289796005,2022-02-08-12-14-24,39.77060651779175,4.02,1.301,19.57
3.939608788036594,0.08968592266837024,1.3011474884418373,2022-02-08-12-14-24,40.30105209350586,4.02,1.301,19.57
3.940101660246801,0.09330022432111493,1.3022907732942912,2022-02-08-12-14-25,40.86372756958008,4.02,1.301,19.57
3.9405945324602225,0.0890287769138374,1.3028426417533527,2022-02-08-12-14-25,41.3970308303833,4.02,1.301,19.57
3.9405945324602225,0.08853591759803957,1.3031058600397045,2022-02-08-12-14-26,41.933003425598145,4.02,1.301,19.57
