Vbattery, sensor current, sma current, sma Vbattery, timestamp, time, supply voltage, supply current, temperature
4.144315327266212,0.05765006729816357,0.6605944926281696,4.1008413643458805,2022-02-17-17-13-46,5.627557754516602,4.1,0.0,19.27
4.1451367832337125,0.05732149442411106,0.7004400369100772,4.106736467451308,2022-02-17-17-13-46,6.033308029174805,4.2,1.03,19.27
4.14530107442834,0.059621504543059096,0.7295410571627224,4.111283144224783,2022-02-17-17-13-47,6.393867492675781,4.2,1.008,19.27
4.145958239210603,0.05420005212195817,0.7512905609741961,4.11493315422329,2022-02-17-17-13-47,6.801421880722046,4.2,0.995,19.27
4.146286821603988,0.055842916491211154,0.7696361825154513,4.117911394393029,2022-02-17-17-13-48,7.207205295562744,4.2,0.995,19.27
4.146615403998877,0.053871479248186645,0.7820927416010162,4.120393109037239,2022-02-17-17-13-48,7.6117730140686035,4.2,0.985,19.27
4.1467796951968845,0.054857197869579946,0.7932544931737067,4.12249746428209,2022-02-17-17-13-48,8.019402503967285,4.2,0.976,19.27
4.147272568793162,0.05699292155008587,0.8029781586929237,4.124314402631196,2022-02-17-17-13-49,8.427001714706421,4.2,0.976,19.27
4.147272568793162,0.05206432844290621,0.8078159141355021,4.125903389649245,2022-02-17-17-13-49,8.833692073822021,4.2,0.97,19.27
4.147601151192559,0.05157146913250951,0.8124048419619038,4.127303245232685,2022-02-17-17-13-50,9.269782066345215,4.2,0.963,19.27
4.147601151192559,0.05403576568506914,0.8184358716324409,4.128533421351465,2022-02-17-17-13-50,9.674775838851929,4.2,0.957,19.27
4.148094024794473,0.05025717763839495,0.8226693202290258,4.129646476085322,2022-02-17-17-13-50,10.081717729568481,4.2,0.957,19.27
4.148094024794473,0.053542906374441195,0.8257112107814922,4.13064364088041,2022-02-17-17-13-51,10.488624811172485,4.2,0.951,19.27
4.148422607197628,0.051900042006100974,0.8291373652062728,4.131546957553007,2022-02-17-17-13-51,10.89481496810913,4.2,0.951,19.27
4.148422607197628,0.052392901316535775,0.8324657924854445,4.132378174179688,2022-02-17-17-13-52,11.301478862762451,4.2,0.946,19.27
4.148751189602287,0.05337861993757821,0.834898219731844,4.133139709780738,2022-02-17-17-13-52,11.6904456615448,4.2,0.941,19.27
4.148915480805179,0.05124289625894329,0.8363386068448634,4.133837204243982,2022-02-17-17-13-52,12.096370697021484,4.2,0.936,19.27
4.148915480805179,0.04910717258137013,0.8375738733124086,4.134478833033821,2022-02-17-17-13-53,12.503157615661621,4.2,0.936,19.27
4.149079772008449,0.04960003189148679,0.8385499701951913,4.135074789726664,2022-02-17-17-13-53,12.906515121459961,4.2,0.932,19.27
4.149408354416114,0.05009289120165865,0.8393354186394314,4.135640111698885,2022-02-17-17-13-54,13.325257301330566,4.2,0.932,19.27
4.149408354416114,0.04960003189148679,0.8401347789348552,4.136156568193799,2022-02-17-17-13-54,13.746463537216187,4.2,0.928,19.27
4.149736936825284,0.05206432844290621,0.8410170629139809,4.136641438441977,2022-02-17-17-13-55,14.151637077331543,4.2,0.924,19.27
4.149572645620512,0.05140718269572325,0.8421096513077646,4.137092282707814,2022-02-17-17-13-55,14.58873701095581,4.2,0.92,19.27
4.149408354416114,0.05009289120165865,0.8421419484828362,4.137515345857403,2022-02-17-17-13-55,14.993531703948975,4.2,0.92,19.27
4.149736936825284,0.04762859465134742,0.841758778756691,4.13791336045955,2022-02-17-17-13-56,15.399401664733887,4.2,0.916,19.27
4.150229810441859,0.05157146913250951,0.8426621912149632,4.138301751074769,2022-02-17-17-13-56,15.808006048202515,4.2,0.913,19.27
4.149736936825284,0.04779288108799258,0.8424357906912519,4.138656130501017,2022-02-17-17-13-57,16.21380305290222,4.2,0.913,19.27
4.149901228030433,0.04845002683463311,0.8421650092751326,4.13899425716168,2022-02-17-17-13-57,16.63678550720215,4.2,0.91,19.27
4.150229810441859,0.044507152356204116,0.8409260900714722,4.139315163308766,2022-02-17-17-13-57,17.04240322113037,4.2,0.906,19.27
4.150558392854789,0.044014293046634526,0.8391286606586679,4.139622618157607,2022-02-17-17-13-58,17.46053123474121,4.2,0.903,19.27
4.150394101648136,0.03990713213548731,0.8369780419534417,4.139922228423289,2022-02-17-17-13-58,17.865126371383667,4.2,0.903,19.27
4.150722684061817,0.04023570500825504,0.8352265918506183,4.140205859474801,2022-02-17-17-13-59,18.28705334663391,4.2,0.9,19.27
4.150229810441859,0.04500001166582478,0.83422104285022,4.140466221837582,2022-02-17-17-13-59,18.69120502471924,4.2,0.896,19.27
4.151051266477003,0.04187856937241344,0.8322352487416685,4.140730038380159,2022-02-17-17-13-59,19.08073663711548,4.2,0.896,19.27
4.150886975269222,0.04171428293597337,0.8304672445237112,4.140972713799305,2022-02-17-17-14-00,19.47048544883728,4.2,0.893,19.27
4.150886975269222,0.04023570500825504,0.82862086789957,4.141209632253912,2022-02-17-17-14-00,19.879193782806396,4.2,0.891,19.27
4.150886975269222,0.04072856431744634,0.8266331959470611,4.141435401604773,2022-02-17-17-14-01,20.2838773727417,4.2,0.891,19.27
4.1513798488936935,0.04072856431744634,0.8247592050146717,4.1416564559696685,2022-02-17-17-14-01,20.685555934906006,4.2,0.888,19.27
4.1513798488936935,0.04237142868176631,0.8235360517024434,4.141878651118727,2022-02-17-17-14-01,21.088197708129883,4.2,0.886,19.27
4.1513798488936935,0.04056427788104393,0.8217272476761769,4.142089274050143,2022-02-17-17-14-02,21.509186029434204,4.2,0.886,19.27
4.151215557685161,0.042207142245309894,0.8201422301304951,4.142283771642205,2022-02-17-17-14-02,21.915672779083252,4.2,0.883,19.27
