Vbattery, sensor current, sma current, sma Vbattery, error, sma error, timestamp, time, supply voltage, supply current
3.2794940680050644,-0.006758913054847965,0.1912672738562298,3.27722140000671,0.0007119200932297343,0.00046639893022951806,2022-07-06-11-22-42,15.041547060012817,3.33,0.501
3.279822646514967,-0.006594625640455484,0.1912672738571525,3.277593006650747,0.0006571570098973087,0.0004936500844677739,2022-07-06-11-22-43,16.140103816986084,3.33,0.501
3.2804798035370593,-0.011194673245971554,0.1844787701503031,3.277953856261536,0.0006571570114216607,0.0005140884503370098,2022-07-06-11-22-45,17.263144493103027,3.33,0.501
3.279986935770204,-0.006266050811690276,0.1856640644487208,3.2781797539847215,0.000638902650914276,0.0005279566948455949,2022-07-06-11-22-46,18.390387296676636,3.33,0.501
3.281301249818965,-0.0047874640825708616,0.18835791512509079,3.2784919035681455,0.0007064437906989518,0.0005458054044309306,2022-07-06-11-22-47,19.526034832000732,3.33,0.501
3.281629828333062,-0.007087487883652734,0.18809342796845013,3.2787771694558647,0.0006720924019169319,0.0005572860405660216,2022-07-06-11-22-48,20.6448974609375,3.33,0.501
3.2821226961056387,-0.006101763397317526,0.1888428082479654,3.279055963343346,0.0006571570161385912,0.0005656086218637357,2022-07-06-11-22-49,21.786754369735718,3.33,0.501
3.282451274621643,-0.007416062712483979,0.18828331618488267,3.2793171411339843,0.0006318817468975105,0.0005707065545586416,2022-07-06-11-22-50,22.925143480300903,3.33,0.501
3.2832727209149937,-0.006923200469247041,0.188219374235177,3.2795996825469134,0.0006454220716441496,0.0005760433772076064,2022-07-06-11-22-51,24.039918661117554,3.33,0.501
3.283108431655942,-0.008237499784678425,0.1871295192189074,3.279833599154182,0.0006133465508046498,0.0005785302554474093,2022-07-06-11-22-53,25.164392709732056,3.33,0.501
3.282944142397081,-0.003637452182507918,0.18957014793097354,3.280028008106863,0.0005852804700581804,0.0005789521438605825,2022-07-06-11-22-54,26.28451442718506,3.33,0.501
3.284094167213115,-0.006430338226069587,0.18978407136735242,3.280267193936642,0.0006185007257038228,0.0005812785310278319,2022-07-06-11-22-55,27.43504786491394,3.33,0.501
3.2849156135160085,-0.00725177529806504,0.18943545539777762,3.2805254394688292,0.0006297754799921377,0.0005839728059702933,2022-07-06-11-22-56,28.557966947555542,3.33,0.501
3.284751324255048,-0.003637452182507918,0.19136935661957702,3.2807478544575774,0.0006052762053062541,0.0005850940375142912,2022-07-06-11-22-57,29.67799949645996,3.33,0.501
3.2855727705617603,-0.0052803263255519865,0.19214008147631453,3.2809891002627865,0.0006160847103765521,0.0005866435711574043,2022-07-06-11-22-58,30.798091173171997,3.33,0.501
3.2855727705617603,-0.007087487883652734,0.1918214374251588,3.281207370277023,0.000586747343215764,0.0005866485126839929,2022-07-06-11-22-59,31.93327832221985,3.33,0.501
3.2863942168732465,-0.00725177529806504,0.19144359862924276,3.281443136031397,0.0005974154781371462,0.0005871379202045907,2022-07-06-11-23-00,33.05324697494507,3.33,0.501
3.286558506136117,-0.006594625640455484,0.19143593233504477,3.2816655434272546,0.0005785839035603301,0.000586766006437449,2022-07-06-11-23-02,34.17227840423584,3.33,0.501
3.286722795399178,-0.00856607461360295,0.19045911865507947,3.2818762622594178,0.0005613216268728719,0.0005857058239555915,2022-07-06-11-23-03,35.29420614242554,3.33,0.501
3.2875442417173506,-0.005937475982951343,0.19080177646124136,3.282102981437735,0.0005717266145248523,0.000585146655578362,2022-07-06-11-23-04,36.4144651889801,3.33,0.501
3.2886942665708183,-0.006594625640455484,0.19081968020745085,3.282356492404392,0.0005939688544841931,0.000585485970920894,2022-07-06-11-23-05,37.532302141189575,3.33,0.501
3.288858555836364,-0.003801739596783312,0.1920574700563062,3.2825973095685392,0.0005780547956346144,0.0005852107422065873,2022-07-06-11-23-06,38.65538239479065,3.33,0.501
3.2886942665708183,-0.006266050811690276,0.1921677896555832,3.2828150580329063,0.0005632774552742914,0.0005844274105304339,2022-07-06-11-23-07,39.76214599609375,3.34,0.501
3.2893514236341477,-0.004294601839648058,0.19307308272503984,3.2830404499501906,0.0005665146831382593,0.0005838097302755313,2022-07-06-11-23-08,40.85468339920044,3.34,0.501
3.2893514236341477,-0.003966027011065125,0.1940473277555734,3.2832508157396556,0.000547630860366984,0.0005826037679452464,2022-07-06-11-23-09,41.97627663612366,3.34,0.501
3.2906657377699853,-0.006430338226069587,0.19402021545214893,3.283490006772892,0.0005723625789305523,0.0005822734070092885,2022-07-06-11-23-10,43.082470178604126,3.34,0.501
3.2905014485023365,-0.004623176668256793,0.1946615257098411,3.2837091143269372,0.0005596102879529968,0.0005815651845387794,2022-07-06-11-23-12,44.187005043029785,3.34,0.501
3.290994316305857,-0.004458889253949196,0.19532274360300048,3.283929878023268,0.0005575877884247404,0.0005808385967777478,2022-07-06-11-23-13,45.30793333053589,3.34,0.501
3.2913228948424944,-0.005608901154238604,0.1955457425788499,3.284147319694422,0.0005508522221957001,0.0005799566445841583,2022-07-06-11-23-14,46.43128538131714,3.34,0.501
3.2919800519180646,-0.003637452182507918,0.19642099503693894,3.2843711120436687,0.0005538895037206868,0.0005792118691309162,2022-07-06-11-23-15,47.55252647399902,3.34,0.501
3.2921443411874356,-0.006594625640455484,0.19627783611543198,3.28458703507544,0.0005430672749887498,0.000578207852626967,2022-07-06-11-23-16,48.68750476837158,3.34,0.501
3.2926372089966964,-0.0019945780401049718,0.19761020009777264,3.284804607343582,0.0005417105326717791,0.0005772214385741241,2022-07-06-11-23-17,49.82628536224365,3.34,0.501
