Vcell, sensor current, smooth current, smooth voltage, timestamp, time, electronic load voltage, electronic load current, temperature
3.7958545288816827,-0.02794316581426204,0.7166030485815854,3.804069056434983,2022-02-08-19-08-21,8.132402658462524,3.8617,0.002582,19.96
3.793554462902766,-0.033200331749825146,0.5766960526743085,3.8023166241796136,2022-02-08-19-08-22,8.352894067764282,3.845266,0.002566,19.96
3.7925687203610075,-0.031064608088365267,0.4803645258962364,3.800924066491241,2022-02-08-19-08-22,8.571304559707642,3.807481,0.002886,19.96
3.724552514691343,-0.03467890966942753,0.40278208825501566,3.791377622516254,2022-02-08-19-08-22,8.758932828903198,3.770629,0.255201,19.96
3.724388224409966,-0.030571748781903114,0.3478278615619515,3.7839343560599996,2022-02-08-19-08-22,8.976839780807495,3.665373,1.351708,19.96
3.721266709127922,-0.031064608088365267,0.3032826119285367,3.777667591366792,2022-02-08-19-08-23,9.179367303848267,3.615685,1.999209,19.96
3.7207738383050497,-0.03287175887881745,0.2648969376621306,3.772495431997543,2022-02-08-19-08-23,9.38103175163269,3.614782,1.999233,19.96
3.719130935584064,-0.033200331749825146,0.2325856156184467,3.768048390629753,2022-02-08-19-08-23,9.594946146011353,3.612961,1.999265,19.96
3.717488032896792,-0.03287175887881745,0.20554366018610998,3.7641591323426016,2022-02-08-19-08-23,9.810221195220947,3.611554,1.999313,19.96
3.7165022913006047,-0.03533605541151056,0.18028674024748653,3.7607550722681737,2022-02-08-19-08-23,10.011967658996582,3.610281,1.999265,19.96
3.715680839979714,-0.03369319105634672,0.15969045025415993,3.7577501234489428,2022-02-08-19-08-24,10.214166402816772,3.609126,1.999265,19.96
3.7148593886672443,-0.03681463333128816,0.13936546790526613,3.7550694525250865,2022-02-08-19-08-24,10.416303634643555,3.608015,1.999345,19.96
3.7142022276233306,-0.03418605036288073,0.12325712906125663,3.752665498119101,2022-02-08-19-08-24,10.61931848526001,3.607586,1.999328,19.96
3.712230744523907,-0.034021763927367984,0.10904635902936916,3.750419122919368,2022-02-08-19-08-24,10.838956832885742,3.606564,1.999289,19.96
3.7127236152942187,-0.03435033679839488,0.09612729521871344,3.748435148833834,2022-02-08-19-08-24,11.055914163589478,3.605691,1.999289,19.96
3.711409293246784,-0.03172175383033085,0.08605178653318282,3.7465838560544817,2022-02-08-19-08-25,11.288902282714844,3.604877,1.999281,19.96
3.710587841978072,-0.03369319105634672,0.07582752957196401,3.744869760146081,2022-02-08-19-08-25,11.52164077758789,3.604181,1.999281,19.96
3.7100949712208817,-0.032378899572315656,0.06723804539997345,3.7432890879222085,2022-02-08-19-08-25,11.738805532455444,3.603381,1.999289,19.96
3.709437810216003,-0.02860031155614929,0.06133503382496845,3.74181729323933,2022-02-08-19-08-25,11.971091032028198,3.602552,1.999305,19.96
3.7084520687187723,-0.02991460303996888,0.055277419571293555,3.7404270755509734,2022-02-08-19-08-26,12.189937591552734,3.601841,1.999321,19.96
3.708123488222385,-0.03533605541151056,0.04714419403025707,3.7391349320578295,2022-02-08-19-08-26,12.410143613815308,3.601249,1.999313,19.96
3.7073020369872993,-0.03599320115361803,0.039338207233862714,3.7379105899397325,2022-02-08-19-08-26,12.644646167755127,3.600523,1.999281,19.96
3.7059877150286367,-0.0322146131368176,0.03376266025180025,3.7367282612393216,2022-02-08-19-08-26,12.863239765167236,3.599798,1.999233,19.96
3.7058234247853155,-0.030407462346417953,0.029347336990924896,3.7356245170802502,2022-02-08-19-08-26,13.080515384674072,3.599191,1.999216,19.96
3.7048376833324452,-0.0322146131368176,0.024500823257381833,3.7345629021234292,2022-02-08-19-08-27,13.28446340560913,3.598673,1.999233,19.96
3.7051662638153915,-0.030571748781903114,0.02062393074938372,3.733583014179828,2022-02-08-19-08-27,13.486924409866333,3.598006,1.999233,19.96
3.7030304907002485,-0.03303604531432063,0.016058663114500518,3.7325974489062927,2022-02-08-19-08-27,13.689225912094116,3.59734,1.999265,19.96
3.7048376833324452,-0.03369319105634672,0.01153627959053449,3.73172995623211,2022-02-08-19-08-27,13.891335248947144,3.597074,1.999297,19.96
3.703851941891665,-0.03648606046021523,0.006288812164541773,3.7308851679187636,2022-02-08-19-08-27,14.094972848892212,3.59657,1.999297,19.96
3.7046733930914755,-0.035828914718088814,0.0015782029318898397,3.7301142333650197,2022-02-08-19-08-28,14.299121856689453,3.596038,1.999216,19.96
3.703851941891665,-0.02975031660448795,-0.0008128356471192179,3.7293638821800665,2022-02-08-19-08-28,14.498395204544067,3.595401,1.999137,19.96
3.701880459046364,-0.030078889475450843,-0.0031787921345060024,3.7286004537596855,2022-02-08-19-08-28,14.700379610061646,3.594809,1.999128,19.96
3.700730427408923,-0.02991460303996888,-0.005364438516363387,3.72784720980426,2022-02-08-19-08-28,14.901369094848633,3.594557,1.999193,19.96
3.699744686018486,-0.034021763927367984,-0.008711077805741135,3.7271076697046337,2022-02-08-19-08-28,15.105507850646973,3.594039,1.999305,19.96
3.70122329810867,-0.029093170862574333,-0.01039412462134619,3.7264439678688395,2022-02-08-19-08-29,15.309400796890259,3.593506,1.999233,19.96
3.6994161055576904,-0.03188604026582521,-0.012817332491359018,3.725768271311061,2022-02-08-19-08-29,15.513940572738647,3.593002,1.999225,19.96
3.699744686018486,-0.034021763927367984,-0.015737317833343378,3.725133549718559,2022-02-08-19-08-29,15.716155052185059,3.592514,1.999265,19.96
3.700073266480623,-0.033364618185330985,-0.018333536165696447,3.724536876308132,2022-02-08-19-08-29,15.91706895828247,3.592247,1.999225,19.96
