Vcell, time, current, Vsupply, Csupply, temperature
3.5244471977459186,2.4375293254852295,1.31590454828796,3.56,1.299,27.67
3.524775777509169,3.199247121810913,1.2838686928578196,3.56,1.299,27.67
3.524775777509169,3.9707367420196533,1.2491631828316911,3.56,1.299,27.56
3.5251043572736984,4.732534646987915,1.2865383474762069,3.56,1.299,27.56
3.525268647156442,5.492204189300537,1.262511455915842,3.56,1.299,27.67
3.524940067391274,6.258162498474121,1.251832837448241,3.56,1.299,27.56
3.525268647156442,7.017024278640747,1.2811990382395753,3.56,1.299,27.77
3.525432937039506,7.776344537734985,1.2678507651504862,3.56,1.299,27.56
3.5257615168065914,8.530799388885498,1.2304756005197397,3.56,1.299,27.56
3.525432937039506,9.283243417739868,1.2358149097510323,3.56,1.299,27.56
3.5259258066906143,10.052839517593384,1.3239135121487569,3.56,1.299,27.67
3.5259258066906143,10.737684488296509,1.2892080020947372,3.56,1.299,27.67
3.5262543864596188,11.447826623916626,1.259841801298731,3.56,1.299,27.77
3.5264186763446004,12.215742111206055,1.3479404037390785,3.56,1.299,27.67
3.5259258066906143,12.980323553085327,1.3078955844284745,3.56,1.299,27.77
3.5264186763446004,13.74176812171936,1.2838686928578196,3.56,1.299,27.56
3.5265829662299026,14.505248069763184,1.2731900743856959,3.56,1.299,27.56
3.5267472561155233,15.267135620117188,1.2811990382395753,3.56,1.299,27.56
3.5267472561155233,16.029263734817505,1.3479404037390785,3.56,1.299,27.67
3.5264186763446004,16.81299090385437,1.2811990382395753,3.56,1.299,27.56
3.5264186763446004,17.595194339752197,1.31590454828796,3.56,1.299,27.67
3.5272401257743065,18.299293041229248,1.2731900743856959,3.56,1.299,27.67
3.5270758358877257,19.078036546707153,1.262511455915842,3.56,1.299,27.67
3.5270758358877257,19.837360382080078,1.278529383621473,3.56,1.299,27.56
3.5272401257743065,20.58328914642334,1.2438238735990104,3.56,1.299,27.46
3.5272401257743065,21.313620805740356,1.2464935282152811,3.56,1.299,27.56
3.5272401257743065,22.08914303779602,1.251832837448241,3.56,1.299,27.67
3.5277329954359677,22.86490750312805,1.2998866205702937,3.56,1.299,27.67
3.5272401257743065,23.630403518676758,1.2811990382395753,3.56,1.299,27.67
3.5277329954359677,24.407559871673584,1.3239135121487569,3.56,1.299,27.46
3.528061575212008,25.17761254310608,1.3212438575283454,3.56,1.299,27.67
3.5282258651005076,25.950284242630005,1.342601094495751,3.56,1.299,27.67
3.5287187347679274,26.953444957733154,1.2811990382395753,3.56,1.299,27.67
3.527897285323828,27.71170687675476,1.2358149097510323,3.56,1.299,27.67
3.5287187347679274,28.451607942581177,1.2811990382395753,3.56,1.299,27.77
3.5283901549893275,29.176615715026855,1.2811990382395753,3.56,1.299,27.56
3.5287187347679274,29.899484157562256,1.2972169659511887,3.56,1.299,27.67
3.5285544448784676,30.627050161361694,1.3239135121487569,3.56,1.299,27.67
3.5288830246577074,31.34558415412903,1.2571721466817607,3.56,1.299,27.67
3.5288830246577074,32.092538356781006,1.313234893667986,3.56,1.299,27.67
3.529540184220026,32.85679292678833,1.2918776567134111,3.56,1.299,27.67
3.529704474111406,33.60057997703552,1.2678507651504862,3.56,1.299,27.67
3.529047314547807,34.32184386253357,1.2411542189828788,3.56,1.299,27.67
3.5292116044382267,35.070353269577026,1.342601094495751,3.56,1.299,27.77
3.529540184220026,35.833064556121826,1.294547311332228,3.56,1.299,27.56
3.529375894328966,36.59068465232849,1.2918776567134111,3.56,1.299,27.67
3.529704474111406,37.35519742965698,1.2545024920649306,3.56,1.299,27.77
3.530197343787466,38.116573095321655,1.2224666366738348,3.56,1.299,27.77
3.529704474111406,38.884685039520264,1.3105652390481577,3.56,1.299,27.67
3.529540184220026,39.61708879470825,1.2464935282152811,3.56,1.299,27.56
3.5300330538951257,40.299336194992065,1.3052259298089361,3.56,1.299,27.67
3.5300330538951257,41.0478458404541,1.2491631828316911,3.56,1.299,27.77
3.529704474111406,41.796422481536865,1.2678507651504862,3.56,1.299,27.67
3.530525923573106,42.557066917419434,1.2998866205702937,3.56,1.299,27.67
3.530690213466406,43.32052707672119,1.2838686928578196,3.56,1.299,27.56
3.530690213466406,44.08212065696716,1.2998866205702937,3.56,1.299,27.56
3.530361633680126,44.84827995300293,1.3025562751895425,3.56,1.299,27.67
3.5308545033600267,45.60983395576477,1.262511455915842,3.56,1.299,27.67
3.5308545033600267,46.3744580745697,1.3078955844284745,3.56,1.299,27.77
3.5308545033600267,47.138298988342285,1.2758597290035136,3.56,1.299,27.56
3.5310187932539674,47.90659499168396,1.3105652390481577,3.56,1.299,27.56
3.53151166293771,48.63871192932129,1.294547311332228,3.56,1.299,27.56
3.5311830831482283,49.35958528518677,1.259841801298731,3.56,1.299,27.67
3.53151166293771,50.0767982006073,1.2811990382395753,3.56,1.299,27.67
3.5313473730428093,50.82050371170044,1.262511455915842,3.56,1.299,27.56
3.5316759528329316,51.52381157875061,1.3052259298089361,3.56,1.299,27.56
3.5313473730428093,52.240960359573364,1.2972169659511887,3.56,1.299,27.67
3.53151166293771,52.98426079750061,1.2731900743856959,3.56,1.299,27.67
3.5320045326243354,53.734042167663574,1.2545024920649306,3.56,1.299,27.67
3.5316759528329316,54.452359199523926,1.2972169659511887,3.56,1.299,27.56
3.5320045326243354,55.1418571472168,1.2838686928578196,3.56,1.299,27.56
3.531840242728473,55.85076093673706,1.3452707491173403,3.56,1.299,27.56
3.53233311241702,56.58242225646973,1.278529383621473,3.56,1.299,27.56
3.53233311241702,57.3031804561615,1.2972169659511887,3.56,1.299,27.56
3.5320045326243354,57.9673638343811,1.2678507651504862,3.56,1.299,27.56
3.532497402313843,58.642048835754395,1.294547311332228,3.56,1.299,27.67
3.5326616922109855,59.321696281433105,1.2278059459043005,3.56,1.299,27.67
3.532825982108449,60.0576958656311,1.262511455915842,3.56,1.299,27.56
3.532825982108449,60.76226019859314,1.3052259298089361,3.56,1.299,27.77
3.5326616922109855,61.51468801498413,1.262511455915842,3.56,1.299,27.56
3.532825982108449,62.24586844444275,1.2411542189828788,3.56,1.299,27.56
3.533154561904337,62.92599010467529,1.2918776567134111,3.56,1.299,27.56
3.533483141701506,63.618805170059204,1.2438238735990104,3.56,1.299,27.46
3.532825982108449,64.38290929794312,1.3025562751895425,3.56,1.299,27.67
3.533154561904337,65.14791750907898,1.2491631828316911,3.56,1.299,27.56
3.5333188518027607,65.8317129611969,1.2865383474762069,3.56,1.299,27.67
3.533483141701506,66.53360176086426,1.3105652390481577,3.56,1.299,27.77
3.5338117214999567,67.2357485294342,1.3265831667693149,3.56,1.299,27.56
3.533647431600571,67.9572901725769,1.3265831667693149,3.56,1.299,27.67
3.533483141701506,68.67363667488098,1.2651811105330935,3.56,1.299,27.56
3.534140301299689,69.40846872329712,1.3185742029080794,3.57,1.299,27.77
3.533647431600571,70.16950869560242,1.2091183636000686,3.57,1.299,27.56
3.5338117214999567,70.88884091377258,1.3105652390481577,3.57,1.299,27.77
3.534140301299689,71.6083972454071,1.2972169659511887,3.57,1.299,27.56
3.534304591200036,72.34418272972107,1.3025562751895425,3.57,1.299,27.56
3.5344688811007035,73.06262516975403,1.262511455915842,3.57,1.299,27.56
3.5347974609029995,73.77577948570251,1.2304756005197397,3.57,1.299,27.56
3.5346331710016914,74.5318169593811,1.3372617852530158,3.57,1.299,27.36
3.5344688811007035,75.2954409122467,1.31590454828796,3.57,1.299,27.56
3.5351260407065777,76.05739188194275,1.2571721466817607,3.57,1.299,27.67
3.5346331710016914,76.82059788703918,1.251832837448241,3.57,1.299,27.56
3.5349617508046283,77.57231497764587,1.3292528213900194,3.57,1.299,27.67
3.5351260407065777,78.3356945514679,1.31590454828796,3.57,1.299,27.77
3.535290330608848,79.01598930358887,1.2438238735990104,3.57,1.299,27.56
3.5351260407065777,79.73750162124634,1.2491631828316911,3.57,1.299,27.56
3.535290330608848,80.46694731712341,1.3345921306318695,3.57,1.299,27.56
3.535290330608848,81.22760200500488,1.278529383621473,3.57,1.299,27.56
3.5354546205114383,81.9862015247345,1.2758597290035136,3.57,1.299,27.56
3.535783200317581,82.72150945663452,1.2571721466817607,3.57,1.299,27.56
3.5359474902211336,83.48378348350525,1.3052259298089361,3.57,1.299,27.56
3.5359474902211336,84.23098087310791,1.259841801298731,3.57,1.299,27.67
3.536111780125006,84.93297100067139,1.2545024920649306,3.57,1.299,27.56
3.536111780125006,85.62149786949158,1.3185742029080794,3.57,1.299,27.46
3.5362760700291997,86.37760996818542,1.278529383621473,3.57,1.299,27.56
3.536111780125006,87.1344301700592,1.278529383621473,3.57,1.299,27.77
3.5366046498385484,87.88267207145691,1.2411542189828788,3.57,1.299,27.67
3.5362760700291997,88.62280678749084,1.278529383621473,3.57,1.299,27.77
3.536768939743704,89.37590622901917,1.2651811105330935,3.57,1.299,27.67
3.5366046498385484,90.08933663368225,1.259841801298731,3.57,1.299,27.67
3.5370975195549774,90.85643076896667,1.31590454828796,3.57,1.299,27.56
3.536768939743704,91.617271900177,1.251832837448241,3.57,1.299,27.67
3.5370975195549774,92.38864350318909,1.3078955844284745,3.57,1.299,27.56
3.5372618094610946,93.15869545936584,1.259841801298731,3.57,1.299,27.67
3.5369332296491804,93.92161560058594,1.262511455915842,3.57,1.299,27.56
3.5375903892742926,94.69997715950012,1.2892080020947372,3.57,1.299,27.67
3.5372618094610946,95.47905826568604,1.3239135121487569,3.57,1.299,27.67
3.5374260993675333,96.25614333152771,1.2811990382395753,3.57,1.299,27.67
3.5375903892742926,97.0331780910492,1.2331452551353168,3.57,1.299,27.67
3.5380832589964943,97.80704879760742,1.251832837448241,3.57,1.299,27.56
3.5375903892742926,98.5724139213562,1.2918776567134111,3.57,1.299,27.67
3.5375903892742926,99.35185289382935,1.2918776567134111,3.57,1.299,27.67
3.5379189690887727,100.11645221710205,1.3052259298089361,3.57,1.299,27.67
3.5380832589964943,100.81445980072021,1.251832837448241,3.57,1.299,27.56
3.5384118388129,101.58097648620605,1.3052259298089361,3.57,1.299,27.46
3.5384118388129,102.34288573265076,1.2998866205702937,3.57,1.299,27.77
3.5380832589964943,103.11804437637329,1.2705204197680202,3.57,1.299,27.67
3.538740418630588,103.88292360305786,1.2545024920649306,3.57,1.299,27.67
3.5385761287215836,104.65083837509155,1.2811990382395753,3.57,1.299,27.67
3.538904708539914,105.4314796924591,1.2571721466817607,3.57,1.299,27.67
3.538740418630588,106.21328473091125,1.262511455915842,3.57,1.299,27.67
3.5390689984495602,106.98950219154358,1.3052259298089361,3.57,1.299,27.67
