Vbattery, sensor current, sma current, sma Vbattery, error, timestamp, time, supply voltage, supply current
4.141522648901543,-0.049309353633222835,0.20750874444254744,4.163837932804324,0.000572527211775416,2022-06-22-17-12-47,3111.167909860611,0.0,0.0
4.1380725507525815,-0.04914506621679193,0.20219940962584326,4.163582369953368,0.0006040576895898994,2022-06-22-17-12-48,3112.2592356204987,0.0,0.0
4.136429646909658,-0.04996650329903811,0.19685089152532534,4.1633035741171955,0.0006140146809974033,2022-06-22-17-12-50,3114.375123023987,0.0,0.0
4.136101066143978,-0.05177366488079026,0.19097339910764694,4.163024778281847,0.0006140146801731826,2022-06-22-17-12-53,3116.490514755249,0.0,0.0
4.135115323852746,-0.04799505430203098,0.18529182310878842,4.162737684952884,0.0006223121737889235,2022-06-22-17-12-55,3118.6028192043304,0.0,0.0
4.134293871950041,-0.05325225163033297,0.17925759755845772,4.162445613128395,0.000627290669313075,2022-06-22-17-12-57,3120.7209124565125,0.0,0.0
4.132815258540409,-0.050130790715514864,0.17334092186105396,4.162131967818025,0.0006355881614042531,2022-06-22-17-12-59,3122.8680233955383,0.0,0.0
4.131665225902016,-0.0567022873822358,0.167149963174373,4.161818322510899,0.0006355881581607422,2022-06-22-17-13-01,3124.9980235099792,0.0,0.0
4.13150093552607,-0.05029507813200085,0.1615271620955695,4.161499698706598,0.0006339286584798595,2022-06-22-17-13-03,3127.1080753803253,0.0,0.0
4.130186612527201,-0.05078794038151406,0.15631578548273087,4.161164479913972,0.0006438856499297716,2022-06-22-17-13-05,3129.2366733551025,0.0,0.0
4.130515193275468,-0.05045936554849602,0.15028155993726217,4.160829261120356,0.0006438856489395066,2022-06-22-17-13-07,3131.3545644283295,0.0,0.0
4.129693741406612,-0.05259510196377608,0.14442365915944574,4.160490723330782,0.0006472046448967494,2022-06-22-17-13-10,3133.498272895813,0.0,0.0
4.129529451033566,-0.04996650329903811,0.13884004136370215,4.160143888045597,0.0006422261467193936,2022-06-22-17-13-12,3135.627434015274,0.0,0.0
4.129036579915877,-0.048652203967554014,0.13315846536378353,4.159793733763499,0.0006455451436302261,2022-06-22-17-13-14,3137.7518157958984,0.0,0.0
4.128050837687022,-0.05095222779803693,0.1277707639791726,4.159435281988417,0.0006538426366158985,2022-06-22-17-13-16,3139.856729745865,0.0,0.0
4.128379418429008,-0.04733790463665313,0.12250061244775119,4.159078489711503,0.0006555021347847067,2022-06-22-17-13-18,3141.9673540592194,0.0,0.0
4.1273936762059495,-0.04848791655115961,0.11711291106698761,4.158706761944748,0.0006604806292471082,2022-06-22-17-13-20,3144.1186361312866,0.0,0.0
4.12690080509768,-0.04898077880037016,0.11143133506653691,4.158336693678863,0.0006588211283755462,2022-06-22-17-13-22,3146.2051289081573,0.0,0.0
4.126407933991585,-0.048652203967554014,0.10618077517439803,4.1579616469169585,0.0006637996243967096,2022-06-22-17-13-24,3148.3206284046173,0.0,0.0
4.126572224360042,-0.048816491383957536,0.1007147072280658,4.1575866001545,0.0006637996238430067,2022-06-22-17-13-27,3150.431599378586,0.0,0.0
4.1255864821529205,-0.04980221588257053,0.09503313122627889,4.1572082343969345,0.0006671186189489708,2022-06-22-17-13-29,3152.5338315963745,0.0,0.0
4.1257507725201705,-0.049309353633222835,0.08972379640932232,4.15682820913959,0.0006654591191704066,2022-06-22-17-13-31,3154.649651288986,0.0,0.0
4.12476503032029,-0.04963792846611213,0.08421854517916418,4.156434907891881,0.000672097112640882,2022-06-22-17-13-33,3156.7558562755585,0.0,0.0
4.12476503032029,-0.05062365296500042,0.07883084379507048,4.156038287645715,0.0006687781141835336,2022-06-22-17-13-35,3158.88640165329,0.0,0.0
4.124600739954489,-0.04832362913477431,0.07397211672897575,4.155644986398586,0.0006654591151456574,2022-06-22-17-13-37,3161.005616903305,0.0,0.0
4.124107868858531,-0.05062365296500042,0.06844727385597613,4.155245047156313,0.0006687781118394334,2022-06-22-17-13-39,3163.1102888584137,0.0,0.0
4.123943578493694,-0.051609377464221035,0.06290283934011467,4.154838469917717,0.0006654591127844485,2022-06-22-17-13-41,3165.2236037254333,0.0,0.0
4.123779288129099,-0.05062365296500042,0.05743677139092727,4.154433552178951,0.0006637996129544596,2022-06-22-17-13-43,3167.3300824165344,0.0,0.0
4.12328641703676,-0.05292367679703579,0.05130458763488135,4.154026974942754,0.0006654591103842496,2022-06-22-17-13-46,3169.447876930237,0.0,0.0
4.12295783630974,-0.048652203967554014,0.04615198594910766,4.153617078709314,0.0006687781076268749,2022-06-22-17-13-48,3171.588536500931,0.0,0.0
4.1226292555836865,-0.05325225163033297,0.04009816875751547,4.153198884980961,0.0006671186071774039,2022-06-22-17-13-50,3173.736313343048,0.0,0.0
4.122300674858596,-0.04832362913477431,0.03490638378968614,4.152780691253842,0.0006671186059431948,2022-06-22-17-13-52,3175.8460235595703,0.0,0.0
4.121807803772771,-0.04668075497141981,0.030067248367182164,4.152362497528573,0.0006671186040920515,2022-06-22-17-13-54,3177.9389498233795,0.0,0.0
4.122136384496413,-0.04898077880037016,0.024385672366731476,4.151945963301292,0.0006687781020805057,2022-06-22-17-13-56,3180.05611205101,0.0,0.0
4.1216435134113105,-0.05029507813200085,0.019233070678490935,4.151519472080527,0.0006687781002146762,2022-06-22-17-13-58,3182.173595428467,0.0,0.0
4.121314932689115,-0.04980221588257053,0.013551494676704018,4.151089661862569,0.0006720970974085683,2022-06-22-17-14-00,3184.2905695438385,0.0,0.0
