Vbattery, sensor current, sma current, sma Vbattery, error, timestamp, time, electronic load voltage, electronic load current
4.0314481411047565,-0.26091155710439945,-0.20349277940803143,4.184083535555506,0.004904550196255072,2022-06-22-15-41-09,46.82453465461731,3.894984,2.599846
4.022412178786999,-0.2627187189061336,-0.2786080257402935,4.1794643539335485,0.005022590542583722,2022-06-22-15-41-10,47.9283185005188,3.887832,2.599886
4.015840570275583,-0.2614044194137006,-0.3491191866655536,4.174919248831937,0.005065618819495719,2022-06-22-15-41-11,49.0474157333374,3.882665,2.59991
4.012061895551668,-0.2620615691597417,-0.41602861702706184,4.170517698743281,0.005030836546642198,2022-06-22-15-41-12,50.1395378112793,3.878594,2.60007
4.007461769968284,-0.2627187189061336,-0.4796206639746972,4.1662267532492026,0.005019502047609078,2022-06-22-15-41-13,51.24509382247925,3.875321,2.599878
4.0041759660926255,-0.26173299428667735,-0.5396531845021406,4.1620716048605715,0.004975048248328293,2022-06-22-15-41-14,52.38086915016174,3.872183,2.59995
4.001383032871942,-0.2653473178952208,-0.5977508440161404,4.1580543905608565,0.004920495372637168,2022-06-22-15-41-15,53.502967834472656,3.869325,2.59991
4.000068711379722,-0.2559829340221604,-0.6503179921748959,4.154201081312536,0.0048325399121391934,2022-06-22-15-41-16,54.623767614364624,3.866719,2.599934
3.9961257469928397,-0.2587758204330304,-0.7011670079594008,4.150437382876353,0.004811359542490219,2022-06-22-15-41-17,55.73975682258606,3.864335,2.599862
3.994647135382457,-0.2618972817231986,-0.7505079737578576,4.146814353864867,0.004733853776627257,2022-06-22-15-41-19,56.87883710861206,3.862055,2.599878
3.9930042336153275,-0.2595972576138905,-0.7969890316007191,4.143318669313741,0.004663604867320486,2022-06-22-15-41-20,57.996429204940796,3.859968,2.599926
3.989225559639498,-0.2610758445408113,-0.841792179199711,4.1398943779876465,0.004643939736398463,2022-06-22-15-41-21,59.12434673309326,3.858013,2.600006
3.987746948117326,-0.25943297017767497,-0.8842257176105719,4.136586825164379,0.004575128253480498,2022-06-22-15-41-22,60.231067419052124,3.856133,2.599958
3.987582657949361,-0.2607472696680095,-0.9251837135776254,4.1334165237342715,0.004481280634639744,2022-06-22-15-41-23,61.349690675735474,3.85446,2.599846
3.9856111759519655,-0.2607472696680095,-0.964435126379385,4.130337245655474,0.004428993163030488,2022-06-22-15-41-24,62.45420742034912,3.852728,2.59991
3.983968274313097,-0.260418694795295,-1.0020052744649046,4.127350123791343,0.004372134152333303,2022-06-22-15-41-25,63.55729293823242,3.851114,2.59991
3.9815039218984576,-0.26304729377946123,-1.0386932799063402,4.1244331997534855,0.004333978517579427,2022-06-22-15-41-26,64.6772792339325,3.849589,2.59979
3.9811753415804625,-0.2635401560896176,-1.0740566325510756,4.12162422214225,0.004255441297979734,2022-06-22-15-41-28,65.79838418960571,3.848182,2.599926
3.979039569536183,-0.26173299428667735,-1.107649562012497,4.118882209592133,0.00421467842771627,2022-06-22-15-41-29,66.88924288749695,3.846894,2.599934
3.977068087684044,-0.26255443146950275,-1.1401578123195792,4.116206471442924,0.004172353964026129,2022-06-22-15-41-30,68.01011967658997,3.845561,2.599934
3.975753766467883,-0.25976154505012783,-1.1708514471208549,4.113605495424868,0.004119427431658257,2022-06-22-15-41-31,69.12443256378174,3.844289,2.599862
3.974603735415943,-0.2551614968436804,-1.1994415308974495,4.111078190697433,0.004065438406572473,2022-06-22-15-41-32,70.2258529663086,3.842985,2.599926
3.9741108649685963,-0.2574615209447831,-1.227495433438316,4.108632345595132,0.004001642550157725,2022-06-22-15-41-33,71.34894108772278,3.841771,2.599822
3.9724679634925386,-0.2610758445408113,-1.2553135955456323,4.106243496786314,0.003960261127805093,2022-06-22-15-41-34,72.46585273742676,3.840616,2.599862
3.9713179324731143,-0.2554900717150078,-1.2810355197656975,4.103917193953328,0.003911808884557149,2022-06-22-15-41-35,73.56892728805542,3.83961,2.599918
3.9701679014650644,-0.2591043953053092,-1.3066087448647739,4.10165025679251,0.003864999090040077,2022-06-22-15-41-36,74.67837047576904,3.838544,2.59987
3.9693464507519898,-0.2610758445408113,-1.3317174436762833,4.099445193358502,0.003814273283757319,2022-06-22-15-41-38,75.8263750076294,3.837477,2.59987
3.9686892901857065,-0.2592686827414812,-1.3556531474415103,4.0973016539622265,0.00376251733756922,2022-06-22-15-41-39,76.92514681816101,3.83647,2.599846
3.96819641976343,-0.261240131977245,-1.3791921329070083,4.095219311475149,0.0037097810969999815,2022-06-22-15-41-40,78.0282781124115,3.835508,2.599846
3.9660606479576828,-0.26469016814741975,-1.4026303732426058,4.093169173958999,0.003684796822535653,2022-06-22-15-41-41,79.1354112625122,3.834502,2.599798
3.9658963578204016,-0.2587758204330304,-1.4242451588970042,4.091180536206833,0.0036297889055785515,2022-06-22-15-41-42,80.25780034065247,3.833598,2.59983
3.9642534564603413,-0.2614044194137006,-1.4456723075147373,4.089227811903042,0.0035992214048782703,2022-06-22-15-41-43,81.37511992454529,3.832666,2.599862
3.9639248761911103,-0.2607472696680095,-1.4663325987351519,4.087329282574073,0.0035496662361563422,2022-06-22-15-41-44,82.47836470603943,3.831777,2.599934
3.961460524201409,-0.2592686827414812,-1.4861156252220171,4.0854506443894065,0.0035334675160599966,2022-06-22-15-41-45,83.60070037841797,3.831052,2.599902
3.961460524201409,-0.25992583248638695,-1.5054308905030673,4.083627260268995,0.003481504758470879,2022-06-22-15-41-46,84.71660566329956,3.830163,2.599854
