Vcell1, current, time, supply voltage, supply current, temperature
4.157458623873971,0.04598573028522092,2022_02_03_11_34_30,4.2,0.764,18.58
4.157458623873971,0.045657157412065795,2022_02_03_11_34_31,4.2,0.763,18.58
4.157622915096808,0.04582144384864046,2022_02_03_11_34_32,4.2,0.761,18.58
4.157622915096808,0.04762859465134742,2022_02_03_11_34_33,4.2,0.759,18.58
4.157622915096808,0.04598573028522092,2022_02_03_11_34_35,4.2,0.759,18.58
4.157951497543611,0.046807162468210636,2022_02_03_11_34_36,4.2,0.757,18.58
4.158115788767578,0.043357147300620506,2022_02_03_11_34_37,4.2,0.756,18.58
4.158115788767578,0.044507152356204116,2022_02_03_11_34_38,4.2,0.754,18.58
4.158115788767578,0.04598573028522092,2022_02_03_11_34_39,4.2,0.752,18.58
4.158115788767578,0.04434286591967526,2022_02_03_11_34_40,4.2,0.751,18.58
4.158115788767578,0.047464308214708206,2022_02_03_11_34_41,4.2,0.749,18.58
4.158280079991922,0.048942886144676775,2022_02_03_11_34_42,4.2,0.749,18.58
4.158608662441739,0.04500001166582478,2022_02_03_11_34_44,4.2,0.746,18.58
4.158444371216643,0.045328584538933785,2022_02_03_11_34_45,4.2,0.746,18.58
4.158608662441739,0.042042855808858935,2022_02_03_11_34_46,4.2,0.744,18.58
4.158444371216643,0.046642876031600985,2022_02_03_11_34_47,4.2,0.743,18.58
4.158772953667213,0.04253571511822822,2022_02_03_11_34_48,4.2,0.741,18.58
4.158608662441739,0.04368572017361631,2022_02_03_11_34_49,4.2,0.74,18.58
4.158608662441739,0.04302857442764699,2022_02_03_11_34_50,4.2,0.739,18.58
4.158772953667213,0.044507152356204116,2022_02_03_11_34_51,4.2,0.737,18.58
4.158937244893063,0.04187856937241344,2022_02_03_11_34_52,4.2,0.735,18.58
4.158937244893063,0.04352143373711562,2022_02_03_11_34_54,4.2,0.735,18.58
4.158937244893063,0.046642876031600985,2022_02_03_11_34_55,4.2,0.734,18.58
4.158115788767578,0.0376071220266957,2022_02_03_11_34_56,4.2,0.733,18.58
4.158608662441739,0.034814252610204766,2022_02_03_11_34_57,4.2,0.731,18.58
4.158937244893063,0.03957855926274062,2022_02_03_11_34_58,4.2,0.73,18.58
4.158772953667213,0.039249986390014854,2022_02_03_11_34_59,4.2,0.729,18.58
4.158772953667213,0.03990713213548731,2022_02_03_11_35_00,4.2,0.728,18.58
4.158937244893063,0.040892850753854085,2022_02_03_11_35_02,4.2,0.726,18.58
4.159101536119291,0.039742845699111344,2022_02_03_11_35_03,4.2,0.725,18.58
4.158772953667213,0.038757127080965174,2022_02_03_11_35_04,4.2,0.724,18.58
4.159758701027969,0.03694997628151034,2022_02_03_11_35_05,4.2,0.723,18.58
4.159101536119291,0.03711426271779915,2022_02_03_11_35_06,4.2,0.723,18.58
4.158937244893063,0.04171428293597337,2022_02_03_11_35_07,4.2,0.721,18.58
4.159101536119291,0.032678528939710516,2022_02_03_11_35_08,4.2,0.72,18.58
4.159265827345895,0.03662140340894768,2022_02_03_11_35_09,4.2,0.718,18.58
4.159430118572876,0.03662140340894768,2022_02_03_11_35_11,4.2,0.717,18.58
4.159265827345895,0.03579997122762763,2022_02_03_11_35_12,4.2,0.716,18.58
4.159922992256081,0.03727854915409297,2022_02_03_11_35_13,4.2,0.715,18.58
4.16008728348457,0.0359642576638818,2022_02_03_11_35_14,4.2,0.714,18.58
4.159594409800234,0.033828533992954726,2022_02_03_11_35_15,4.2,0.713,18.58
4.159430118572876,0.039742845699111344,2022_02_03_11_35_16,4.2,0.712,18.58
4.159594409800234,0.034814252610204766,2022_02_03_11_35_17,4.2,0.712,18.58
4.159922992256081,0.036785689845226524,2022_02_03_11_35_18,4.2,0.711,18.58
4.159922992256081,0.03464996617398451,2022_02_03_11_35_20,4.2,0.709,18.58
4.159758701027969,0.03793569489931864,2022_02_03_11_35_21,4.2,0.708,18.58
4.16008728348457,0.03908569995365978,2022_02_03_11_35_22,4.2,0.708,18.58
4.16008728348457,0.034485679737769045,2022_02_03_11_35_23,4.2,0.706,18.58
4.160251574713436,0.034814252610204766,2022_02_03_11_35_24,4.2,0.705,18.58
4.16008728348457,0.03530711191889439,2022_02_03_11_35_25,4.2,0.705,18.58
4.160251574713436,0.040071418571868536,2022_02_03_11_35_26,4.2,0.704,18.58
4.160415865942677,0.03662140340894768,2022_02_03_11_35_27,4.2,0.703,18.58
4.160415865942677,0.036785689845226524,2022_02_03_11_35_29,4.2,0.702,18.58
4.159922992256081,0.03530711191889439,2022_02_03_11_35_30,4.2,0.701,18.58
4.159922992256081,0.032842815375874315,2022_02_03_11_35_31,4.2,0.7,18.58
