Vbattery, sensor current, sma current, sma Vbattery, timestamp, time, supply voltage, supply current, temperature
3.3724791923036044,0.0706286958464053,1.1011732212153604,3.3679043591806352,2022-02-23-15-06-53,7.856804609298706,3.45,1.301,21.05
3.3731363506741885,0.0696429772208213,1.101541240472983,3.368558147488403,2022-02-23-15-06-54,8.281302690505981,3.45,1.301,21.05
3.3737935090496673,0.07177870090995227,1.1011381160390854,3.3691160878155295,2022-02-23-15-06-54,8.700001239776611,3.45,1.301,21.05
3.3733006402675993,0.06882154503305318,1.098574052485852,3.369591154303995,2022-02-23-15-06-54,9.104159832000732,3.45,1.301,21.05
3.37428637783449,0.0706286958464053,1.0985303029901412,3.370022671821652,2022-02-23-15-06-55,9.509779453277588,3.45,1.301,21.05
3.3744506674300427,0.06783582640799095,1.0990001345266556,3.370407714918034,2022-02-23-15-06-55,9.91437578201294,3.45,1.301,21.05
3.375107825815314,0.06668582134577208,1.096369077927697,3.37076400903824,2022-02-23-15-06-56,10.320194959640503,3.45,1.301,21.05
3.375600694607482,0.06898583147059101,1.0965702175820196,3.3711040276436592,2022-02-23-15-06-56,10.70668077468872,3.45,1.301,21.05
3.3762578530013254,0.0696429772208213,1.0963423253621456,3.3714311380824107,2022-02-23-15-06-56,11.11426329612732,3.45,1.301,21.05
3.3762578530013254,0.0722715602230227,1.0972700352736682,3.371742539044921,2022-02-23-15-06-57,11.504072427749634,3.45,1.301,21.05
3.37707930100052,0.06931440434569033,1.0959694108211941,3.372046065272534,2022-02-23-15-06-57,11.891728162765503,3.45,1.301,21.05
3.3767507217999233,0.0675072535330326,1.0955932535452135,3.3723149027883847,2022-02-23-15-06-58,12.265832901000977,3.45,1.301,21.05
3.377736459405388,0.06931440434569033,1.0956771264511136,3.372590198864848,2022-02-23-15-06-58,12.6703462600708,3.45,1.301,21.05
3.3779007490073707,0.07292870597389786,1.0956529323440665,3.3728541096618065,2022-02-23-15-06-58,13.08904504776001,3.45,1.301,21.05
3.3788864866257025,0.06783582640799095,1.095489179543025,3.3731363507622274,2022-02-23-15-06-59,13.508725881576538,3.45,1.301,21.05
3.3790507762298305,0.06898583147059101,1.0953857656291623,3.373399978253477,2022-02-23-15-06-59,13.916094541549683,3.46,1.301,21.05
3.3790507762298305,0.06849297215800113,1.095119138645043,3.373651124830204,2022-02-23-15-07-00,14.334470987319946,3.46,1.301,21.05
3.3793793554390055,0.06685010778320877,1.0943387290127964,3.373894879324195,2022-02-23-15-07-00,14.722372770309448,3.46,1.301,21.05
3.380200803467307,0.07260013309844386,1.0951657584776555,3.3741489111339904,2022-02-23-15-07-00,15.113651514053345,3.46,1.301,21.05
3.380529382680773,0.0680001128454818,1.0948250352846456,3.3743991257044526,2022-02-23-15-07-01,15.500735998153687,3.46,1.302,21.05
3.380857961895466,0.07375013816267728,1.0957176782104106,3.374642855372038,2022-02-23-15-07-01,15.904282093048096,3.46,1.302,21.05
3.381515120328531,0.07309299241163722,1.0964396074166292,3.3748897688321153,2022-02-23-15-07-02,16.323552131652832,3.46,1.301,21.05
3.382336568376763,0.06947869078325186,1.0962942176797867,3.3751395309487835,2022-02-23-15-07-02,16.725210428237915,3.46,1.301,21.05
3.38250085798733,0.06980726365839869,1.0961915587887365,3.375389067458565,2022-02-23-15-07-02,17.11483120918274,3.46,1.301,21.05
3.38299372682087,0.0660286755961019,1.0948555844611485,3.3756276274631634,2022-02-23-15-07-03,17.52078938484192,3.46,1.301,21.05
3.3833223060447652,0.07177870090995227,1.0956363549001482,3.3758614718872373,2022-02-23-15-07-03,17.907841444015503,3.46,1.302,21.05
3.383815174882908,0.0696429772208213,1.0958021293405786,3.376101146145169,2022-02-23-15-07-04,18.29687237739563,3.46,1.302,21.05
3.384308043723813,0.06947869078325186,1.095784314773662,3.3763387719110853,2022-02-23-15-07-04,18.68628978729248,3.46,1.301,21.05
3.384308043723813,0.06865725859552324,1.0950929030381813,3.3765721463058638,2022-02-23-15-07-04,19.092247009277344,3.46,1.302,21.05
3.3846366229526175,0.06832868572048686,1.095369247914114,3.3767970007238772,2022-02-23-15-07-05,19.511582851409912,3.46,1.302,21.05
3.3852937814139112,0.06931440434569033,1.0960821291838707,3.3770252881505733,2022-02-23-15-07-05,19.917734146118164,3.46,1.301,21.05
3.385786650263105,0.07260013309844386,1.0963690779278494,3.3772501623607076,2022-02-23-15-07-06,20.32027554512024,3.46,1.302,21.05
3.385950939880117,0.07112155515930552,1.0968174439666742,3.3774676220564563,2022-02-23-15-07-06,20.72623062133789,3.46,1.302,21.05
3.386279519115062,0.06898583147059101,1.0964083601748846,3.3776865488271177,2022-02-23-15-07-06,21.11419653892517,3.46,1.302,21.05
3.386936677588639,0.07194298734763427,1.0968815051428642,3.3779169753350464,2022-02-23-15-07-07,21.503461599349976,3.46,1.301,21.05
3.387429546447046,0.06997155009598405,1.097051429492349,3.3781442145230494,2022-02-23-15-07-07,21.89489197731018,3.46,1.301,21.05
3.38726525682727,0.07095726872166405,1.0975328145004148,3.3783607601022045,2022-02-23-15-07-08,22.282965183258057,3.46,1.302,21.05
3.3884152841721566,0.0680001128454818,1.097813716432117,3.378591898586571,2022-02-23-15-07-08,22.671976566314697,3.46,1.301,21.05
3.388743863416318,0.07013583653357736,1.0980819935575372,3.3788144947752645,2022-02-23-15-07-08,23.06200647354126,3.46,1.301,21.05
3.388743863416318,0.07013583653357736,1.098231908998555,3.379036333418424,2022-02-23-15-07-09,23.48088002204895,3.47,1.302,21.05
