Vbattery, sensor current, sma current, sma Vbattery, timestamp, time, electronic load voltage, electronic load current, temperature
4.139550882839765,-0.034021763927367984,-0.12240791332313085,4.139828020490645,2022-02-24-14-48-27,517.1875185966492,4.137282,0.002174,18.19
4.026025765027991,-0.242994116121515,-0.14719119261738164,4.138669685580675,2022-02-24-14-48-27,517.5767543315887,4.136883,0.007117,18.28
4.020768455581185,-0.2441441212670607,-0.19805079185907706,4.1362766785862295,2022-02-24-14-48-27,517.9521315097809,3.906739,2.507244,17.99
4.01863267372502,-0.24200839742612335,-0.2484793775924842,4.133842183995433,2022-02-24-14-48-28,518.3420481681824,3.89411,2.599838,17.89
4.017154055552958,-0.2454584128631921,-0.29839858361375304,4.131361223291848,2022-02-24-14-48-28,518.732723236084,3.891919,2.599758,18.19
4.015018273800923,-0.24463698061545686,-0.34823942356573984,4.128845412985663,2022-02-24-14-48-28,519.137291431427,3.889698,2.59983,17.69
4.014196819297283,-0.24397983481763608,-0.3984916855150884,4.126317986159538,2022-02-24-14-48-29,519.6230044364929,3.887981,2.599846,18.09
4.013046783007465,-0.24496555351448968,-0.4486068067944664,4.123752390734849,2022-02-24-14-48-29,520.1532928943634,3.886144,2.59987,18.09
4.010089546915457,-0.2454584128631921,-0.4988394772277907,4.121133691194408,2022-02-24-14-48-30,520.6669714450836,3.884501,2.599918,18.19
4.0095966742449045,-0.2423369703245064,-0.5489741900771493,4.1185083536323095,2022-02-24-14-48-31,521.1832554340363,3.883272,2.599974,18.19
4.00861092891361,-0.2443084077165057,-0.5987170723641846,4.115859783021083,2022-02-24-14-48-31,521.7130382061005,3.881895,2.599902,17.99
4.006803729173531,-0.2475941367097047,-0.6492632072435521,4.113166405795734,2022-02-24-14-48-32,522.224310874939,3.880918,2.599918,18.19
4.005817983879279,-0.24578698576242947,-0.6991236387285368,4.110463071553268,2022-02-24-14-48-32,522.7547769546509,3.879615,2.599822,17.89
4.004503656840605,-0.24167982452782094,-0.7491995769388902,4.107748120790035,2022-02-24-14-48-33,523.2691247463226,3.878475,2.599838,17.89
4.003025038949856,-0.2459512722120789,-0.7994714304592805,4.105009936982451,2022-02-24-14-48-33,523.7683579921722,3.877616,2.599846,17.99
4.00286074807492,-0.25022271991021233,-0.8508600009202005,4.102236903567155,2022-02-24-14-48-34,524.2819311618805,3.87658,2.599878,18.28
4.0018750028329215,-0.2443084077165057,-0.9010534883057787,4.09945723214612,2022-02-24-14-48-34,524.8064506053925,3.875825,2.599862,18.09
4.001382130216818,-0.2459512722120789,-0.9516388062106013,4.096651008658599,2022-02-24-14-48-35,525.323477268219,3.874788,2.599862,18.28
4.0000678032564965,-0.24808699605939494,-1.002713912259526,4.093841466173114,2022-02-24-14-48-35,525.8231263160706,3.874122,2.599822,17.89
3.998096312859508,-0.24677270446063432,-1.0535343284874346,4.091003712130796,2022-02-24-14-48-36,526.3416602611542,3.873234,2.599846,17.89
3.9997392215200405,-0.24118696518051835,-1.1034143514606571,4.088174255600492,2022-02-24-14-48-36,526.8569815158844,3.872538,2.599846,17.99
3.9976034402684135,-0.2451298399640367,-1.154744147304806,4.085323225528545,2022-02-24-14-48-37,527.3700680732727,3.871679,2.599886,18.09
3.9977677311317494,-0.24381554836823183,-1.2056821126213917,4.082448962385639,2022-02-24-14-48-37,527.8875691890717,3.870865,2.59983,17.99
3.9974391494054404,-0.24496555351448968,-1.2565025288290648,4.0795713802547535,2022-02-24-14-48-38,528.4095940589905,3.870258,2.59987,18.09
3.9974391494054404,-0.24184411097696207,-1.3070682551896617,4.076683841101991,2022-02-24-14-48-38,528.9231424331665,3.869518,2.599934,18.09
3.995960531654978,-0.2423369703245064,-1.3571441934280501,4.07377472839535,2022-02-24-14-48-39,529.4354181289673,3.868895,2.599838,18.09
3.994153332222022,-0.24710127736020054,-1.408278074062288,4.07083740413057,2022-02-24-14-48-39,529.9485511779785,3.8682,2.599894,17.99
3.994317623077753,-0.24726556381001463,-1.4594511377388462,4.067903398869704,2022-02-24-14-48-40,530.4650099277496,3.867504,2.59991,18.19
3.994317623077753,-0.24447269416597106,-1.5097817658329267,4.0649644151145194,2022-02-24-14-48-40,530.9803607463837,3.866971,2.599878,18.09
3.992839005389199,-0.24397983481763608,-1.560073210818371,4.061997219775314,2022-02-24-14-48-41,531.4938683509827,3.866349,2.599958,17.99
3.9920175511304454,-0.24332268902014081,-1.6099140507456295,4.0590167484076325,2022-02-24-14-48-41,532.0208263397217,3.865772,2.599854,17.99
3.9920175511304454,-0.2469369909104071,-1.6603230449054005,4.056039596047089,2022-02-24-14-48-42,532.5320041179657,3.865165,2.59987,17.89
3.9913603877299533,-0.23987267358859465,-1.71047734922943,4.053032572619359,2022-02-24-14-48-42,533.0458190441132,3.864676,2.599814,18.09
3.9910318060318777,-0.24167982452782094,-1.7616112298155098,4.050035506232988,2022-02-24-14-48-43,533.5614140033722,3.864084,2.599822,17.89
3.9895531884084385,-0.24463698061545686,-1.8121769561957055,4.047021844814903,2022-02-24-14-48-43,534.0740597248077,3.863477,2.599814,17.99
3.9900460609463306,-0.2459512722120789,-1.862703499530212,4.043993247855047,2022-02-24-14-48-44,534.5884990692139,3.863017,2.599862,17.89
3.989388897563198,-0.24447269416597106,-1.9127206632064282,4.040966310405492,2022-02-24-14-48-44,535.1149773597717,3.862455,2.599798,17.89
3.988731734185849,-0.24808699605939494,-1.9636978116631112,4.037922777927889,2022-02-24-14-48-45,535.6129169464111,3.86204,2.599806,17.99
