Vcell, sensor current, smooth current, smooth voltage, timestamp, time, electronic load voltage, electronic load current, temperature
4.149901228030433,-0.030078889475450843,-0.08394975064148841,4.1499908414158515,2022-02-09-14-57-17,12404.32761311531,4.148772,0.002158,19.47
4.096506606068548,-0.028107452249732524,-0.08291139984062414,4.149448182785841,2022-02-09-14-57-18,12404.748376607895,4.136216,0.202918,19.47
4.092727911236528,-0.03287175887881745,-0.08334241338061874,4.148323037387686,2022-02-09-14-57-18,12405.13657784462,4.031612,1.299494,19.47
4.092563620161327,-0.028764597991623363,-0.08318568118427348,4.147163042368045,2022-02-09-14-57-19,12405.525534152985,4.022995,1.299902,19.47
4.092399329086496,-0.027121733636922232,-0.0828134422179591,4.1459980688269935,2022-02-09-14-57-19,12405.92806816101,4.021959,1.299934,19.47
4.089442089802936,-0.03385747749185666,-0.08353832862612394,4.144783310112628,2022-02-09-14-57-19,12406.331686735153,4.020879,1.299998,19.47
4.091249291573061,-0.030407462346417953,-0.08359710319974806,4.143591784481623,2022-02-09-14-57-20,12406.738110542297,4.020227,1.299966,19.47
4.089442089802936,-0.03139318095934572,-0.08396934216604529,4.1423753662642335,2022-02-09-14-57-20,12407.125893115997,4.019413,1.299982,19.47
4.087799179141728,-0.027778879378792413,-0.08394975064150881,4.141119119903756,2022-02-09-14-57-21,12407.545689105988,4.01885,1.299982,19.47
4.087799179141728,-0.029586030169008043,-0.08475300314776858,4.139867852061861,2022-02-09-14-57-21,12407.968121767044,4.018258,1.300014,19.47
4.08911350766773,-0.030571748781903114,-0.0844003557059557,4.138616584227211,2022-02-09-14-57-21,12408.37155008316,4.017577,1.300006,19.47
4.087306305950588,-0.032378899572315656,-0.08536034040856244,4.1373304667672475,2022-02-09-14-57-22,12408.778154850006,4.017177,1.29991,19.47
4.085827686397169,-0.02975031660448795,-0.08528197431037898,4.136055965852869,2022-02-09-14-57-22,12409.199655771255,4.01657,1.299998,19.47
4.086649141700922,-0.02843602512067614,-0.08569339632574648,4.134779805425481,2022-02-09-14-57-23,12409.604669809341,4.016067,1.300014,19.47
4.086484850639431,-0.02860031155614929,-0.08528197431032833,4.133493687968364,2022-02-09-14-57-23,12410.008118391037,4.015667,1.299958,19.47
4.084513357930416,-0.03073603521738938,-0.08596767766932444,4.132184337433621,2022-02-09-14-57-23,12410.410440206528,4.015148,1.29999,19.47
4.085170522160832,-0.02843602512067614,-0.08588931157115225,4.130876646400024,2022-02-09-14-57-24,12410.80071091652,4.014764,1.300038,19.47
4.085170522160832,-0.024493150669557782,-0.08485096077037865,4.129558998335569,2022-02-09-14-57-24,12411.17504954338,4.014335,1.300062,19.47
4.083856193705923,-0.032707472443315566,-0.08506646754035808,4.128226414720496,2022-02-09-14-57-25,12411.56612110138,4.013993,1.300014,19.47
4.084020484761491,-0.028928884427098372,-0.08500769296674057,4.126895490617079,2022-02-09-14-57-25,12411.953566551208,4.013653,1.29991,19.47
4.083691902650725,-0.03418605036288073,-0.08506646754039587,4.125556268975003,2022-02-09-14-57-25,12412.346048116684,4.013208,1.299926,19.47
4.0818847010679615,-0.03090032165287676,-0.08508605906493931,4.124212068824009,2022-02-09-14-57-26,12412.735280275345,4.012898,1.30007,19.47
4.082706156327305,-0.032378899572315656,-0.08512524211404306,4.12286454966611,2022-02-09-14-57-26,12413.124874591827,4.012513,1.300038,19.47
4.081556118966814,-0.029586030169008043,-0.08479218619679059,4.121483840388967,2022-02-09-14-57-27,12413.544650554657,4.012232,1.300054,19.47
4.081391827916794,-0.026628874330527887,-0.08438076418135076,4.120101471607824,2022-02-09-14-57-27,12413.96602010727,4.011803,1.29987,19.47
4.082706156327305,-0.03122889452385491,-0.08449831332859785,4.118743995405649,2022-02-09-14-57-27,12414.370762586594,4.011433,1.299894,19.47
4.082870447380284,-0.03254318600781497,-0.08469422857405129,4.117366605149296,2022-02-09-14-57-28,12414.779193162918,4.011136,1.299886,19.47
4.081063245817865,-0.03090032165287676,-0.08477259467221863,4.115982576862615,2022-02-09-14-57-28,12415.18928527832,4.010811,1.299918,19.47
4.081556118966814,-0.0320503267013208,-0.08551707260485891,4.1146018675854705,2022-02-09-14-57-29,12415.575037956238,4.010514,1.299958,19.47
4.081391827916794,-0.031064608088365267,-0.08567380480118092,4.1132112012797455,2022-02-09-14-57-29,12415.96542263031,4.010203,1.299974,19.47
4.080241790577014,-0.029421743733529154,-0.08549748108029075,4.111817215969242,2022-02-09-14-57-29,12416.354894161224,4.009922,1.300102,19.47
4.080570372672245,-0.03287175887881745,-0.08575217089937914,4.110408295097826,2022-02-09-14-57-30,12416.773743152618,4.009596,1.300022,19.47
4.080241790577014,-0.032707472443315566,-0.08616359291479889,4.109001033730339,2022-02-09-14-57-30,12417.160499334335,4.009285,1.30007,19.47
4.0776131338683905,-0.032378899572315656,-0.08637909968478505,4.107557263246575,2022-02-09-14-57-31,12417.549641609192,4.009019,1.300054,19.47
4.080077499529952,-0.03139318095934572,-0.0868297047492775,4.106143363858571,2022-02-09-14-57-31,12417.928475618362,4.008797,1.29999,19.47
4.079256044300192,-0.03188604026582521,-0.08690807084746639,4.104716188428059,2022-02-09-14-57-31,12418.34917473793,4.008486,1.299934,19.47
4.079913208483261,-0.02860031155614929,-0.0865358318811374,4.103297310529943,2022-02-09-14-57-32,12418.723880529404,4.008248,1.299862,19.47
4.078598880123037,-0.03287175887881745,-0.08708439456836414,4.101861837575177,2022-02-09-14-57-32,12419.116297245026,4.007982,1.299934,19.47
