Vcell, sensor current, smooth current, smooth voltage, timestamp, time, supply voltage, supply current, temperature
3.6969517521444732,0.09428594295452143,0.7503514059676232,3.6538420114482633,2022-02-09-11-30-37,3.857661485671997,3.65,0.0,19.47
3.6985946544115698,0.08870020403662918,0.9151032545934061,3.6665580707686867,2022-02-09-11-30-37,4.345193386077881,3.78,1.308,19.47
3.6994161055576904,0.09362879719887662,1.0148213168072016,3.6738416018073656,2022-02-09-11-30-38,4.829828977584839,3.78,1.306,19.47
3.7002375567121946,0.0901787819843722,1.0740464961022549,3.6786259308599187,2022-02-09-11-30-38,5.299052953720093,3.78,1.305,19.47
3.7010590078750853,0.09132878705538695,1.1146009523140408,3.682051898057163,2022-02-09-11-30-39,5.781826972961426,3.78,1.305,19.47
3.701880459046364,0.09264307856571231,1.1473148803542021,3.684651895459877,2022-02-09-11-30-39,6.282825469970703,3.78,1.304,19.47
3.702209039517224,0.08985020910702779,1.1706200362364583,3.686707777688059,2022-02-09-11-30-40,6.797093391418457,3.78,1.304,19.47
3.7028662004629727,0.08985020910702779,1.1883042684181486,3.6883913705868108,2022-02-09-11-30-40,7.283074378967285,3.78,1.303,19.47
3.7033590711758078,0.09132878705538695,1.204467276344781,3.689809042536337,2022-02-09-11-30-41,7.7380290031433105,3.78,1.303,19.47
3.7036876516527104,0.09461451583240477,1.2178193263720516,3.691015878111674,2022-02-09-11-30-41,8.22183632850647,3.78,1.303,19.47
3.704344812610544,0.09330022432111493,1.2281816415684002,3.6920756212619854,2022-02-09-11-30-42,8.747650861740112,3.78,1.303,19.47
3.7048376833324452,0.0928073650045479,1.2360031006786516,3.693014874369391,2022-02-09-11-30-42,9.281514883041382,3.78,1.302,19.47
3.7051662638153915,0.09083592773917867,1.2427457378417046,3.693864231589263,2022-02-09-11-30-43,9.793400764465332,3.78,1.302,19.47
3.705659134542331,0.09264307856571231,1.2499322534460673,3.694625193070106,2022-02-09-11-30-43,10.263994932174683,3.78,1.302,19.47
3.7061520052722936,0.08755019896670398,1.2537791441093553,3.6953188092567943,2022-02-09-11-30-44,10.761815309524536,3.78,1.302,19.47
3.706809166250281,0.0890287769138374,1.2578513824567839,3.695966013071003,2022-02-09-11-30-44,11.271204710006714,3.78,1.302,19.47
3.706809166250281,0.08656448033571246,1.260697070321002,3.696556569735973,2022-02-09-11-30-45,11.752628326416016,3.79,1.302,19.47
3.7073020369872993,0.09083592773917867,1.2647925950701453,3.6971076193386048,2022-02-09-11-30-45,12.234545230865479,3.79,1.302,19.47
3.7076306174803255,0.0900144955456951,1.2681574118736532,3.6976209363211283,2022-02-09-11-30-46,12.73511004447937,3.79,1.302,19.47
3.707959197974696,0.08870020403662918,1.27075816177285,3.6981056064037987,2022-02-09-11-30-46,13.235528707504272,3.79,1.302,19.47
3.7082877784704102,0.08705733965116541,1.2726105176455704,3.698558147384537,2022-02-09-11-30-47,13.721445083618164,3.79,1.302,19.47
3.709109229715581,0.09149307349414283,1.275378174829993,3.699000138536941,2022-02-09-11-30-47,14.220047950744629,3.79,1.302,19.47
3.709109229715581,0.08968592266837024,1.2776824035542662,3.6994094016411774,2022-02-09-11-30-48,14.702808618545532,3.79,1.301,19.47
3.7089449394658747,0.08787877184377745,1.2793875717779535,3.6997897870558667,2022-02-09-11-30-48,15.247706890106201,3.79,1.301,19.47
3.70976639071777,0.08919306335245603,1.2802687337516465,3.7001569632175957,2022-02-09-11-30-49,15.759764194488525,3.79,1.301,19.47
3.709930680969158,0.08804305828232856,1.2817558413700407,3.7005153582313204,2022-02-09-11-30-49,16.276906490325928,3.79,1.301,19.47
3.70976639071777,0.0868930532126716,1.2817774951445364,3.7008486027177776,2022-02-09-11-30-50,16.79398465156555,3.79,1.301,19.47
3.71108071273829,0.08459304307474885,1.2818963026105639,3.7011843155826605,2022-02-09-11-30-50,17.342867851257324,3.79,1.301,19.47
3.710423551725339,0.08245731937688058,1.2802903310292568,3.701489934640662,2022-02-09-11-30-51,17.874521017074585,3.79,1.301,19.47
3.7115735835015355,0.08032159568054992,1.2793096994909752,3.701802227132067,2022-02-09-11-30-51,18.376105785369873,3.79,1.301,19.47
3.711409293246784,0.0818001736240012,1.278449093307418,3.7020953016239906,2022-02-09-11-30-52,18.919118404388428,3.79,1.301,19.47
3.711902164012048,0.08114302787126643,1.2772635338733824,3.7023929479715725,2022-02-09-11-30-52,19.465421199798584,3.79,1.301,19.47
3.712395034780341,0.08229303293864712,1.2759780450474936,3.7026733394584395,2022-02-09-11-30-53,19.979192972183228,3.79,1.301,19.47
3.712395034780341,0.07917159061392043,1.2745191182872289,3.7029448760836132,2022-02-09-11-30-53,20.492026567459106,3.79,1.301,19.47
3.712559325037112,0.08114302787126643,1.2731135633909163,3.7032082856439823,2022-02-09-11-30-54,21.00713610649109,3.79,1.301,19.47
3.7127236152942187,0.08426447019805235,1.271989857925371,3.703464218304755,2022-02-09-11-30-55,21.53715705871582,3.79,1.301,19.47
3.7127236152942187,0.079828736366227,1.270571879321821,3.703713256681518,2022-02-09-11-30-55,22.050040006637573,3.79,1.301,19.47
3.7135450665848038,0.08229303293864712,1.269913136431456,3.7039621632613478,2022-02-09-11-30-56,22.566331386566162,3.79,1.301,19.47
3.7140379373631935,0.08475732951311102,1.2694545404337991,3.7042048629826474,2022-02-09-11-30-56,23.09295129776001,3.79,1.301,19.47
3.7140379373631935,0.08426447019805235,1.2687843634044478,3.7044418045339853,2022-02-09-11-30-57,23.6524019241333,3.79,1.301,19.47
